"","ko_map","noFMT_1_duodenum","noFMT_1_jejunum","noFMT_1_ileum","noFMT_1_cecum","noFMT_1_colon","noFMT_2_duodenum","noFMT_2_jejunum","noFMT_2_ileum","noFMT_2_cecum","noFMT_2_colon","noFMT_3_duodenum","noFMT_3_jejunum","noFMT_3_ileum","noFMT_3_cecum","noFMT_3_colon","noFMT_4_duodenum","noFMT_4_jejunum","noFMT_4_ileum","noFMT_4_cecum","noFMT_4_colon","donor_1_duodenum","donor_1_jejunum","donor_1_ileum","donor_1_cecum","donor_1_colon","donor_2_duodenum","donor_2_jejunum","donor_2_ileum","donor_2_cecum","donor_2_colon","donor_3_duodenum","donor_3_jejunum","donor_3_ileum","donor_3_cecum","donor_3_colon","donor_4_duodenum","donor_4_jejunum","donor_4_ileum","donor_4_cecum","donor_4_colon","postFMT_1_duodenum","postFMT_1_jejunum","postFMT_1_ileum","postFMT_1_cecum","postFMT_1_colon","postFMT_2_duodenum","postFMT_2_jejunum","postFMT_2_ileum","postFMT_2_cecum","postFMT_2_colon","postFMT_3_duodenum","postFMT_3_jejunum","postFMT_3_ileum","postFMT_3_cecum","postFMT_3_colon","postFMT_4_duodenum","postFMT_4_jejunum","postFMT_4_ileum","postFMT_4_cecum","postFMT_4_colon"
"3879","K18707",28,4,1,3,25,14,149,0,68,27,13,197,7,12,49,0,235,99,35,4,0,7,396,42,8,1,189,0,112,64,13,13,19,31,36,0,189,0,14,49,2,1,0,0,0,7,0,0,0,0,2,8,0,0,0,6,4,0,0,0
"3880","K18765",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3881","K18783",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3882","K18785",10,11,0,0,2,1,38,0,29,1,0,9,1,0,0,0,1,19,0,0,0,0,89,25,0,0,63,0,16,14,2,0,3,12,0,0,10,0,37,53,0,0,0,0,0,2,0,0,0,0,2,6,0,0,0,1,0,0,0,0
"3883","K18814",0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,8,1,0,0,4,0,8,3,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"3884","K18815",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3885","K18816",0,0,1,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3886","K18820",23,0,0,1,24,5,55,0,21,23,2,4,0,0,3,0,3,1,0,12,0,0,2,5,0,1,7,0,5,4,1,0,2,1,10,0,1,0,2,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"3887","K18827",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3888","K18828",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,9,1,0,0,1,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
