OTU,domain,dconf,phylum,pconf,class,cconf,order,oconf,family,fconf,genus,gconf
Otu1714,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,0.96,Acetitomaculum,0.23
Otu1715,Bacteria,1,Firmicutes,0.64,Clostridia,0.4,Clostridiales,0.4,Clostridiales_Incertae Sedis XII,0.15,Guggenheimella,0.15
Otu1716,Bacteria,1,Firmicutes,0.87,Clostridia,0.78,Clostridiales,0.78,Lachnospiraceae,0.5,Shuttleworthia,0.17
Otu1717,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Clostridium XlVa,0.47
Otu1718,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Christensenellaceae,1,Christensenella,1
Otu1719,Bacteria,1,Firmicutes,0.65,Clostridia,0.51,Clostridiales,0.51,Clostridiales_Incertae Sedis XII,0.19,Guggenheimella,0.19
Otu1720,Bacteria,1,Firmicutes,0.99,Clostridia,0.96,Clostridiales,0.96,Lachnospiraceae,0.07,Abyssivirga,0.07
Otu1721,Bacteria,1,Firmicutes,0.98,Clostridia,0.96,Clostridiales,0.95,Ruminococcaceae,0.38,Monoglobus,0.24
Otu1722,Bacteria,1,Bacteroidetes,1,Bacteroidia,1,Bacteroidales,1,Muribaculaceae,1,Duncaniella,0.65
Otu1723,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Ruminococcaceae,1,Harryflintia,0.55
Otu1724,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,0.98,Ruminococcaceae,0.85,Papillibacter,0.37
Otu1725,Bacteria,1,Firmicutes,0.72,Clostridia,0.67,Clostridiales,0.67,Lachnospiraceae,0.2,Anaerotaenia,0.14
Otu1726,Bacteria,1,Bacteroidetes,1,Bacteroidia,0.95,Bacteroidales,0.95,Muribaculaceae,0.8,Muribaculum,0.4
Otu1727,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Lacrimispora,0.22
Otu1728,Bacteria,1,Bacteroidetes,1,Bacteroidia,1,Bacteroidales,1,Prevotellaceae,1,Prevotella,1
Otu1729,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Ruminococcus2,0.31
Otu1730,Bacteria,1,Firmicutes,0.99,Clostridia,0.98,Clostridiales,0.98,Ruminococcaceae,0.94,Ethanoligenens,0.43
Otu1731,Bacteria,1,Bacteroidetes,1,Bacteroidia,1,Bacteroidales,1,Porphyromonadaceae,1,Parabacteroides,1
Otu1732,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Mediterraneibacter,0.97
Otu1733,Bacteria,1,Bacteroidetes,1,Bacteroidia,1,Bacteroidales,1,Bacteroidaceae,0.8,Bacteroides,0.76
Otu1734,Bacteria,1,Bacteroidetes,1,Bacteroidia,1,Bacteroidales,1,Porphyromonadaceae,1,Parabacteroides,1
Otu1735,Bacteria,1,Firmicutes,0.99,Clostridia,0.97,Clostridiales,0.96,Lachnospiraceae,0.38,Robinsoniella,0.26
Otu1736,Bacteria,1,Bacteroidetes,1,Bacteroidia,1,Bacteroidales,1,Prevotellaceae,1,Prevotella,1
Otu1737,Bacteria,1,Firmicutes,0.99,Clostridia,0.98,Clostridiales,0.98,Ruminococcaceae,0.86,Monoglobus,0.09
Otu1738,Bacteria,1,Actinobacteria,1,Coriobacteriia,1,Eggerthellales,1,Eggerthellaceae,1,Slackia,1
Otu1739,Bacteria,1,Firmicutes,0.92,Clostridia,0.91,Clostridiales,0.87,Clostridiales_Incertae Sedis XIII,0.21,Alterileibacterium,0.21
Otu1740,Bacteria,0.99,Firmicutes,0.97,Clostridia,0.94,Clostridiales,0.94,Peptostreptococcaceae,0.23,Criibacterium,0.21
Otu1741,Bacteria,1,Firmicutes,0.98,Clostridia,0.9,Clostridiales,0.87,Clostridiales_Incertae Sedis XIII,0.18,Anaerovorax,0.12
Otu1742,Bacteria,1,Firmicutes,0.43,Clostridia,0.18,Clostridiales,0.18,Clostridiaceae 3,0.09,Caldisalinibacter,0.09
Otu1743,Bacteria,1,Bacteroidetes,0.99,Bacteroidia,0.97,Bacteroidales,0.97,Porphyromonadaceae,0.91,Parabacteroides,0.91
Otu1744,Bacteria,1,Firmicutes,0.86,Erysipelotrichia,0.57,Erysipelotrichales,0.57,Erysipelotrichaceae,0.56,Holdemania,0.16
Otu1745,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Ruminococcus2,0.14
Otu1746,Bacteria,1,Firmicutes,0.78,Clostridia,0.53,Clostridiales,0.53,Ruminococcaceae,0.4,Colidextribacter,0.39
Otu1747,Bacteria,1,Firmicutes,0.95,Clostridia,0.9,Clostridiales,0.89,Lachnospiraceae,0.4,Robinsoniella,0.18
Otu1748,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,0.92,Anaerobutyricum,0.27
Otu1749,Bacteria,1,Firmicutes,0.77,Clostridia,0.52,Clostridiales,0.52,Ruminococcaceae,0.39,Colidextribacter,0.38
Otu1750,Bacteria,1,Firmicutes,0.82,Clostridia,0.8,Clostridiales,0.8,Clostridiales_Incertae Sedis XIII,0.16,Ihubacter,0.09
Otu1751,Bacteria,1,Actinobacteria,1,Coriobacteriia,1,Coriobacteriales,1,Atopobiaceae,1,Olsenella,1
Otu1752,Bacteria,1,Firmicutes,0.99,Negativicutes,0.48,Selenomonadales,0.48,Sporomusaceae,0.47,Anaerosinus,0.23
Otu1753,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Ruminococcaceae,1,Neglecta,0.92
Otu1754,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Ruminococcaceae,1,Phocea,0.76
Otu1755,Bacteria,1,Firmicutes,1,Clostridia,0.96,Clostridiales,0.95,Ruminococcaceae,0.92,Ethanoligenens,0.31
Otu1756,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Dorea,0.56
Otu1757,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Ruminococcaceae,1,Flintibacter,0.43
Otu1758,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Anaerostipes,1
Otu1759,Bacteria,1,Firmicutes,0.64,Clostridia,0.55,Clostridiales,0.54,Clostridiaceae 4,0.03,Thermotalea,0.03
Otu1760,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Kineothrix,0.34
Otu1761,Bacteria,0.99,Firmicutes,0.6,Clostridia,0.58,Clostridiales,0.58,Lachnospiraceae,0.53,Acetatifactor,0.22
Otu1762,Bacteria,1,Bacteroidetes,1,Bacteroidia,0.97,Bacteroidales,0.97,Muribaculaceae,0.75,Paramuribaculum,0.36
Otu1763,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Acetatifactor,0.95
Otu1764,Bacteria,1,Firmicutes,0.98,Clostridia,0.97,Clostridiales,0.97,Lachnospiraceae,0.95,Robinsoniella,0.25
Otu1765,Bacteria,1,Firmicutes,0.99,Clostridia,0.99,Clostridiales,0.99,Ruminococcaceae,0.99,Ethanoligenens,0.4
Otu1766,Bacteria,1,Firmicutes,0.96,Negativicutes,0.31,Selenomonadales,0.31,Sporomusaceae,0.29,Anaerosinus,0.23
Otu1767,Bacteria,1,Bacteroidetes,1,Bacteroidia,1,Bacteroidales,1,Muribaculaceae,1,Muribaculum,0.62
Otu1768,Bacteria,1,Firmicutes,0.98,Clostridia,0.96,Clostridiales,0.96,Lachnospiraceae,0.43,Robinsoniella,0.24
Otu1769,Bacteria,1,Firmicutes,1,Clostridia,0.95,Clostridiales,0.95,Clostridiales_Incertae Sedis XIII,0.22,Anaerovorax,0.11
Otu1770,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Clostridium XlVa,0.62
Otu1771,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Mediterraneibacter,0.35
