"","X.1","X","OTU2","OTU1","meandist","distsd","median","Original","Zscore","zpvalue","zpadjusted","MouseGroup","InstancesOTU1","InstancesOTU2","Significant","Phylum_OTU1","Class_OTU1","Order_OTU1","Family_OTU1","OTU1WithOrder","Phylum_OTU2","Class_OTU2","Order_OTU2","Family_OTU2","OTU2WithOrder","OTU1ColorName","OTU2ColorName","OTU1Type","OTU2Type","OTU1emergence","OTU2emergence"
"22",22,22,"Otu1","Otu20",0.896427256248882,0.00608489168967091,0.896296296296296,0.96094839609484,-10.6034984904467,0.000000000000000000000000028704,0.00000000000000000000000349,"J",389302,1366584,TRUE,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Otu20_Clostridiales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#E41A1C'>Otu20","<b style='color:#828382'>Otu1","Recipient Taxa","Shared Taxa","depleted","depleted"
"23",23,23,"Otu1","Otu22",0.958729379651255,0.00287326998880137,0.95897416885349,0.947277441659464,3.98568113557911,0.000067287,0.000745,"J",67880,1366584,TRUE,"Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Otu22_Clostridiales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#E41A1C'>Otu22","<b style='color:#828382'>Otu1","Recipient Taxa","Shared Taxa","unchanged","depleted"
"24",24,24,"Otu1","Otu23",0.958276521924369,0.00317751445042651,0.959026698979607,0.968274111675127,-3.14635540033999,0.0016532,0.0119,"J",153487,1366584,TRUE,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Otu23_Clostridiales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#E41A1C'>Otu23","<b style='color:#828382'>Otu1","Recipient Taxa","Shared Taxa","depleted","depleted"
"25",25,25,"Otu1","Otu26",0.880457316024928,0.00475907328860429,0.88074375109649,0.924028875902372,-9.1554715036176,0.000000000000000000054121,0.00000000000000000384,"J",425988,1366584,TRUE,"Tenericutes","Mollicutes","Acholeplasmatales","Acholeplasmataceae","Otu26_Acholeplasmatales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#E41A1C'>Otu26","<b style='color:#828382'>Otu1","Recipient Taxa","Shared Taxa","depleted","depleted"
"26",26,26,"Otu1","Otu27",0.948317563567149,0.00335916663342148,0.948883743104033,0.965078060805259,-4.98948074541895,0.00000060542,0.0000101,"J",106742,1366584,TRUE,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu27_Clostridiales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#E41A1C'>Otu27","<b style='color:#828382'>Otu1","Recipient Taxa","Shared Taxa","depleted","depleted"
"27",27,27,"Otu1","Otu30",0.954302916080429,0.00372141603113691,0.954035115112097,0.928385416666667,6.96441870430828,0.0000000000032976,0.000000000106,"J",157077,1366584,TRUE,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu30_Clostridiales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#E41A1C'>Otu30","<b style='color:#828382'>Otu1","Recipient Taxa","Shared Taxa","unchanged","depleted"
"28",28,28,"Otu1","Otu33",0.945019036186038,0.00378457804982668,0.944813278008299,0.928812131423757,4.28235447886261,0.000018493,0.00023,"J",136965,1366584,TRUE,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu33_Clostridiales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#E41A1C'>Otu33","<b style='color:#828382'>Otu1","Recipient Taxa","Shared Taxa","depleted","depleted"
"29",29,29,"Otu1","Otu35",0.952732443310922,0.00408043696345117,0.95187842971718,0.97986852917009,-6.65028919751218,0.000000000029252,0.000000000831,"J",148733,1366584,TRUE,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu35_Clostridiales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#E41A1C'>Otu35","<b style='color:#828382'>Otu1","Recipient Taxa","Shared Taxa","depleted","depleted"
"30",30,30,"Otu1","Otu4",0.837224346067171,0.00545537470179154,0.837186897880539,0.787746903247405,9.06948569518377,0.00000000000000000011958,0.00000000000000000784,"J",840171,1366584,TRUE,"Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Otu4_Bacteroidales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#E41A1C'>Otu4","<b style='color:#828382'>Otu1","Recipient Taxa","Shared Taxa","depleted","depleted"
"31",31,31,"Otu1","Otu40",0.94414509510673,0.00321066926739994,0.943553380535888,0.977831519548569,-10.4920256919265,0.000000000000000000000000093991,0.0000000000000000000000107,"J",164128,1366584,TRUE,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu40_Clostridiales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#E41A1C'>Otu40","<b style='color:#828382'>Otu1","Recipient Taxa","Shared Taxa","depleted","depleted"
"32",32,32,"Otu1","Otu43",0.954354801757544,0.00421707227599364,0.954179041154009,0.942513942513942,2.80783882007616,0.0049875,0.0317,"J",153328,1366584,TRUE,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu43_Clostridiales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#E41A1C'>Otu43","<b style='color:#828382'>Otu1","Recipient Taxa","Shared Taxa","depleted","depleted"
"33",33,33,"Otu1","Otu45",0.98432494097239,0.00216397129213871,0.984283789851819,0.982456140350877,0.863597695728095,0.38781,0.629,"J",66641,1366584,FALSE,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu45_Clostridiales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#377EB8'>Otu45","<b style='color:#828382'>Otu1","Donor Taxa","Shared Taxa","depleted","depleted"
"34",34,34,"Otu1","Otu46",0.991980990112216,0.00127209871575448,0.992272727272727,0.994101633393829,-1.6670430174558,0.095506,0.292,"J",10616,1366584,FALSE,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu46_Clostridiales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#828382'>Otu46","<b style='color:#828382'>Otu1","Shared Taxa","Shared Taxa","unchanged","depleted"
"35",35,35,"Otu1","Otu47",0.991414632246368,0.00166257950206071,0.991600402060933,0.99683830171635,-3.26220157487799,0.0011055,0.00841,"J",28299,1366584,TRUE,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu47_Clostridiales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#377EB8'>Otu47","<b style='color:#828382'>Otu1","Donor Taxa","Shared Taxa","unchanged","depleted"
"36",36,36,"Otu1","Otu48",0.969753506967424,0.00271819929638642,0.969895287958115,0.981888745148771,-4.4644401893119,0.0000080278,0.000109,"J",93278,1366584,TRUE,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Otu48_Clostridiales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#E41A1C'>Otu48","<b style='color:#828382'>Otu1","Recipient Taxa","Shared Taxa","depleted","depleted"
"37",37,37,"Otu1","Otu49",0.987141058348138,0.00177362473547609,0.987387387387387,0.999109528049866,-6.74802818337791,0.000000000014987,0.000000000448,"J",14889,1366584,TRUE,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu49_Clostridiales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#377EB8'>Otu49","<b style='color:#828382'>Otu1","Donor Taxa","Shared Taxa","unchanged","depleted"
"38",38,38,"Otu1","Otu5",0.823962904951328,0.00610093611369878,0.825172650755713,0.825713409021172,-0.2869238486064,0.77417,0.85,"J",764022,1366584,FALSE,"Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Otu5_Erysipelotrichales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#E41A1C'>Otu5","<b style='color:#828382'>Otu1","Recipient Taxa","Shared Taxa","unchanged","depleted"
"39",39,39,"Otu1","Otu50",0.974560897728102,0.00231278340710785,0.974234700310562,0.97310405643739,0.629908224970365,0.52875,0.718,"J",64336,1366584,FALSE,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Otu50_Clostridiales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#E41A1C'>Otu50","<b style='color:#828382'>Otu1","Recipient Taxa","Shared Taxa","depleted","depleted"
