"","X.1","X","OTU2","OTU1","meandist","distsd","median","Original","Zscore","zpvalue","zpadjusted","MouseGroup","InstancesOTU1","InstancesOTU2","Significant","Phylum_OTU1","Class_OTU1","Order_OTU1","Family_OTU1","OTU1WithOrder","Phylum_OTU2","Class_OTU2","Order_OTU2","Family_OTU2","OTU2WithOrder","OTU1ColorName","OTU2ColorName","OTU1Type","OTU2Type","OTU1emergence","OTU2emergence"
"491",491,491,"Otu11","Otu70",0.991778765772457,0.00456605073767677,0.992606284658041,1,-1.80051311294134,0.07178,0.308,"E",4013,166569,FALSE,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu70_Clostridiales","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Otu11_Bacteroidales","<b style='color:#828382'>Otu70","<b style='color:#377EB8'>Otu11","Shared Taxa","Donor Taxa","unchanged","enriched"
"492",492,492,"Otu11","Otu73",0.994957093628775,0.00344111875470996,0.994263862332696,0.992337164750958,0.761359623009669,0.44644,0.814,"E",22758,166569,FALSE,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu73_Clostridiales","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Otu11_Bacteroidales","<b style='color:#828382'>Otu73","<b style='color:#377EB8'>Otu11","Shared Taxa","Donor Taxa","unchanged","enriched"
"493",493,493,"Otu11","Otu75",0.996117610507841,0.00308307878517645,0.996190476190476,1,-1.25925730825488,0.20794,0.585,"E",11980,166569,FALSE,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu75_Clostridiales","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Otu11_Bacteroidales","<b style='color:#377EB8'>Otu75","<b style='color:#377EB8'>Otu11","Donor Taxa","Donor Taxa","unchanged","enriched"
"494",494,494,"Otu11","Otu77",0.992470658338756,0.00345916865785916,0.992606284658041,0.996316758747698,-1.11185686196692,0.2662,0.665,"E",21208,166569,FALSE,"Bacteroidetes","Bacteroidia","Bacteroidales","Prolixibacteraceae","Otu77_Bacteroidales","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Otu11_Bacteroidales","<b style='color:#828382'>Otu77","<b style='color:#377EB8'>Otu11","Shared Taxa","Donor Taxa","enriched","enriched"
"495",495,495,"Otu11","Otu78",0.989868463358237,0.00439688691396743,0.990186529157117,0.991087344028521,-0.277214468812468,0.78162,0.87,"E",23060,166569,FALSE,"Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Otu78_Bacteroidales","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Otu11_Bacteroidales","<b style='color:#828382'>Otu78","<b style='color:#377EB8'>Otu11","Shared Taxa","Donor Taxa","enriched","enriched"
"496",496,496,"Otu11","Otu8",0.986362382007627,0.00416435284499076,0.985840707964602,0.996497373029772,-2.43374934819392,0.014943,0.0938,"E",11015,166569,FALSE,"Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Otu8_Verrucomicrobiales","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Otu11_Bacteroidales","<b style='color:#E41A1C'>Otu8","<b style='color:#377EB8'>Otu11","Recipient Taxa","Donor Taxa","depleted","enriched"
"497",497,497,"Otu11","Otu81",0.991175563120889,0.00426212284696462,0.990757855822551,0.985130111524164,1.41841326817469,0.15607,0.497,"E",15723,166569,FALSE,"Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Otu81_Bacteroidales","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Otu11_Bacteroidales","<b style='color:#828382'>Otu81","<b style='color:#377EB8'>Otu11","Shared Taxa","Donor Taxa","enriched","enriched"
"498",498,498,"Otu11","Otu82",0.973615757979207,0.00431032113960913,0.97317436661699,0.994160583941606,-4.76642581769716,0.0000018752,0.0000305,"E",34109,166569,TRUE,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu82_Clostridiales","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Otu11_Bacteroidales","<b style='color:#377EB8'>Otu82","<b style='color:#377EB8'>Otu11","Donor Taxa","Donor Taxa","unchanged","enriched"
"499",499,499,"Otu11","Otu83",0.992254276398398,0.00289909223459075,0.992633517495396,0.992633517495396,-0.130813739719318,0.89592,0.908,"E",23647,166569,FALSE,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu83_Clostridiales","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Otu11_Bacteroidales","<b style='color:#377EB8'>Otu83","<b style='color:#377EB8'>Otu11","Donor Taxa","Donor Taxa","unchanged","enriched"
"500",500,500,"Otu11","Otu84",0.996837610080296,0.00236420016060673,0.99710051305796,0.996131528046422,0.298655776122247,0.7652,0.87,"E",845,166569,FALSE,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu84_Clostridiales","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Otu11_Bacteroidales","<b style='color:#828382'>Otu84","<b style='color:#377EB8'>Otu11","Shared Taxa","Donor Taxa","unchanged","enriched"
"501",501,501,"Otu11","Otu85",0.985327251787463,0.00484300513380535,0.984536082474227,0.99660441426146,-2.32854646287277,0.019883,0.117,"E",16546,166569,FALSE,"Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Otu85_Bacteroidales","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Otu11_Bacteroidales","<b style='color:#828382'>Otu85","<b style='color:#377EB8'>Otu11","Shared Taxa","Donor Taxa","enriched","enriched"
"502",502,502,"Otu11","Otu87",0.967570405659548,0.00786040000048328,0.966573816155989,0.998650472334683,-3.95400573421503,0.000076854,0.000952,"E",9397,166569,TRUE,"Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Otu87_Eggerthellales","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Otu11_Bacteroidales","<b style='color:#828382'>Otu87","<b style='color:#377EB8'>Otu11","Shared Taxa","Donor Taxa","unchanged","enriched"
"503",503,503,"Otu11","Otu88",0.991736718643363,0.0038198598199053,0.992673992673993,0.962264150943396,7.71561499361436,0.00000000000001204,0.000000000000454,"E",24443,166569,TRUE,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu88_Clostridiales","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Otu11_Bacteroidales","<b style='color:#828382'>Otu88","<b style='color:#377EB8'>Otu11","Shared Taxa","Donor Taxa","depleted","enriched"
"504",504,504,"Otu11","Otu89",0.994177969088029,0.00223569527841474,0.99437148217636,1,-2.60412542271835,0.0092109,0.0637,"E",10816,166569,FALSE,"Bacteroidetes","Bacteroidia","Bacteroidales","Odoribacteraceae","Otu89_Bacteroidales","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Otu11_Bacteroidales","<b style='color:#377EB8'>Otu89","<b style='color:#377EB8'>Otu11","Donor Taxa","Donor Taxa","unchanged","enriched"
"505",505,505,"Otu11","Otu92",0.995483440621996,0.00238507719501478,0.996190476190476,0.996190476190476,-0.296441377226,0.76689,0.87,"E",7587,166569,FALSE,"Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Otu92_Desulfovibrionales","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Otu11_Bacteroidales","<b style='color:#377EB8'>Otu92","<b style='color:#377EB8'>Otu11","Donor Taxa","Donor Taxa","unchanged","enriched"
