OTU,domain,dconf,phylum,pconf,class,cconf,order,oconf,family,fconf,genus,gconf
Otu597,Bacteria,1.0000,Bacteroidetes,1.0000,Bacteroidia,1.0000,Bacteroidales,1.0000,Bacteroidaceae,1.0000,Bacteroides,1.0000
Otu595,Bacteria,1.0000,Proteobacteria,0.9900,Betaproteobacteria,0.8300,Burkholderiales,0.3900,Sutterellaceae,0.2100,Neisseria,0.2000
Otu598,Bacteria,1.0000,Firmicutes,0.9900,Erysipelotrichia,0.8200,Erysipelotrichales,0.8200,Erysipelotrichaceae,0.8200,Dubosiella,0.3000
Otu596,Bacteria,1.0000,Firmicutes,0.5200,Mollicutes,0.3800,Bacillales,0.3200,Alicyclobacillaceae,0.3100,Alicyclobacillus,0.3100
Otu600,Bacteria,1.0000,Bacteroidetes,0.9800,Bacteroidia,0.8800,Bacteroidales,0.8800,Dysgonomonadaceae,0.5000,Dysgonomonas,0.5000
Otu599,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,0.9700,Clostridiales,0.9700,Ruminococcaceae,0.5000,Herbinix,0.2400
Otu604,Bacteria,0.9700,Firmicutes,0.4100,Bacilli,0.2200,Bacillales,0.2000,Coriobacteriaceae,0.1500,Enorma,0.1500
Otu602,Bacteria,1.0000,Bacteroidetes,0.9600,Bacteroidia,0.5800,Bacteroidales,0.5800,Bacteroidaceae,0.5200,Bacteroides,0.5200
Otu601,Bacteria,1.0000,Firmicutes,0.9800,Clostridia,0.9800,Clostridiales,0.9800,Lachnospiraceae,0.9700,Anaerotignum,0.9600
Otu603,Bacteria,0.9400,Firmicutes,0.8900,Bacilli,0.7300,Bacillales,0.7300,Paenibacillaceae_1,0.3700,Paenibacillus,0.3100
Otu605,Bacteria,1.0000,Firmicutes,0.6500,Clostridia,0.4500,Clostridiales,0.4400,Clostridiales_Incertae_Sedis_XIII,0.2100,Akkermansia,0.1800
Otu607,Bacteria,1.0000,Firmicutes,0.9500,Erysipelotrichia,0.5300,Erysipelotrichales,0.5300,Erysipelotrichaceae,0.5300,Faecalicoccus,0.4400
Otu606,Bacteria,1.0000,Bacteroidetes,0.6300,Bacteroidia,0.6300,Bacteroidales,0.6300,Bacteroidaceae,0.6300,Anaerorhabdus,0.6300
Otu608,Bacteria,1.0000,Firmicutes,0.6400,Erysipelotrichia,0.5800,Erysipelotrichales,0.5800,Erysipelotrichaceae,0.5800,Dubosiella,0.2900
Otu610,Bacteria,1.0000,Bacteroidetes,0.7300,Cytophagia,0.3300,Cytophagales,0.3300,Cytophagaceae,0.3300,Duncaniella,0.2600
Otu609,Bacteria,1.0000,Firmicutes,0.5700,Erysipelotrichia,0.5600,Erysipelotrichales,0.5600,Erysipelotrichaceae,0.5600,Faecalicoccus,0.5500
Otu611,Bacteria,1.0000,Verrucomicrobia,1.0000,Verrucomicrobiae,1.0000,Verrucomicrobiales,1.0000,Verrucomicrobiaceae,0.9800,Brevifollis,0.5000
Otu612,Bacteria,1.0000,Firmicutes,0.4900,Clostridia,0.4900,Clostridiales,0.4800,Sphingobacteriaceae,0.2600,Cellulosilyticum,0.2000
Otu615,Bacteria,1.0000,Bacteroidetes,0.8100,Bacteroidia,0.8100,Bacteroidales,0.8100,Muribaculaceae,0.3200,Muribaculum,0.3200
Otu613,Bacteria,0.9900,Firmicutes,0.9600,Bacilli,0.9200,Lactobacillales,0.5100,Carnobacteriaceae,0.3300,Trichococcus,0.3100
Otu614,Bacteria,1.0000,Firmicutes,0.6100,Clostridia,0.6100,Clostridiales,0.6100,Vallitaleaceae,0.4800,Vallitalea,0.4800
Otu617,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,1.0000,Anaerobutyricum,0.8100
Otu622,Bacteria,1.0000,Firmicutes,0.6500,Clostridia,0.4900,Clostridiales,0.4900,Lachnospiraceae,0.3200,Lachnoanaerobaculum,0.3000
Otu618,Bacteria,1.0000,Firmicutes,0.9400,Clostridia,0.9400,Clostridiales,0.9400,Ruminococcaceae,0.9200,Acetivibrio,0.7600
Otu620,Bacteria,1.0000,Bacteroidetes,0.9800,Cytophagia,0.9200,Cytophagales,0.9200,Cytophagaceae,0.6000,Emticicia,0.4400
Otu616,Bacteria,1.0000,Firmicutes,0.8200,Bacilli,0.5500,Lactobacillales,0.4100,Sporomusaceae,0.2300,Thermosinus,0.2000
Otu619,Bacteria,1.0000,Firmicutes,0.8200,Erysipelotrichia,0.4800,Erysipelotrichales,0.4800,Erysipelotrichaceae,0.4800,Staphylococcus,0.1500
Otu621,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,0.5100,Clostridiales,0.5100,Ruminococcaceae,0.5000,Acetanaerobacterium,0.2200
Otu624,Bacteria,1.0000,Bacteroidetes,1.0000,Cytophagia,0.7800,Cytophagales,0.7800,Cytophagaceae,0.7500,Emticicia,0.6300
Otu623,Bacteria,1.0000,Verrucomicrobia,0.9400,Verrucomicrobiae,0.9400,Verrucomicrobiales,0.9400,Akkermansiaceae,0.9400,Akkermansia,0.9400
Otu625,Bacteria,1.0000,Actinobacteria,0.7200,Coriobacteriia,0.7200,Eggerthellales,0.7100,Eggerthellaceae,0.7100,Adlercreutzia,0.7100
Otu626,Bacteria,1.0000,Bacteroidetes,0.7000,Sphingobacteriia,0.6600,Sphingobacteriales,0.6600,Sphingobacteriaceae,0.6600,Olivibacter,0.5200
Otu628,Bacteria,1.0000,Tenericutes,0.3900,Mollicutes,0.3900,Acholeplasmatales,0.3800,Acholeplasmataceae,0.3800,Acholeplasma,0.3800
Otu627,Bacteria,1.0000,Bacteroidetes,0.9900,Cytophagia,0.9900,Cytophagales,0.9900,Cytophagaceae,0.8200,Cytophaga,0.7500
Otu629,Bacteria,1.0000,Firmicutes,0.9900,Clostridia,0.9900,Clostridiales,0.9900,Vallitaleaceae,0.6300,Vallitalea,0.6300
