seqid,ZOTU,count,rel_ab,spike_count,abs_ab,mouse_type,polysacc,replicate,order,family,genus
psac02.029,Otu205,0,0,18100,0,JC,cellobiose,1,Clostridiales,Ruminococcaceae,Flintibacter
psac02.029,Otu191,1,0.0024813895781637717,18100,5.524861878453039e-5,JC,cellobiose,1,Burkholderiales,Sutterellaceae,Parasutterella
psac02.029,Otu581,0,0,18100,0,JC,cellobiose,1,Clostridiales,Lachnospiraceae,Kineothrix
psac02.029,Otu61,0,0,18100,0,JC,cellobiose,1,Clostridiales,Ruminococcaceae,Lawsonibacter
psac02.029,Otu138,1,0.0024813895781637717,18100,5.524861878453039e-5,JC,cellobiose,1,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
psac02.029,Otu32,1,0.0024813895781637717,18100,5.524861878453039e-5,JC,cellobiose,1,Lactobacillales,Lactobacillaceae,Ligilactobacillus
psac02.029,Otu242,0,0,18100,0,JC,cellobiose,1,Clostridiales,Clostridiaceae_4,Anaerosolibacter
psac02.029,Otu136,0,0,18100,0,JC,cellobiose,1,Clostridiales,Lachnospiraceae,Marvinbryantia
psac02.029,Otu515,0,0,18100,0,JC,cellobiose,1,Erysipelotrichales,Erysipelotrichaceae,Amedibacillus
psac02.029,Otu78,0,0,18100,0,JC,cellobiose,1,Deferribacterales,Deferribacteraceae,Mucispirillum
psac02.029,Otu194,0,0,18100,0,JC,cellobiose,1,Eggerthellales,Eggerthellaceae,Adlercreutzia
psac02.029,Otu50,0,0,18100,0,JC,cellobiose,1,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.029,Otu1062,0,0,18100,0,JC,cellobiose,1,Lactobacillales,Streptococcaceae,Streptococcus
psac02.029,Otu168,1,0.0024813895781637717,18100,5.524861878453039e-5,JC,cellobiose,1,Clostridiales,Lachnospiraceae,Mordavella
psac02.029,Otu406,0,0,18100,0,JC,cellobiose,1,Clostridiales,Lachnospiraceae,Butyrivibrio
psac02.029,Otu447,0,0,18100,0,JC,cellobiose,1,Clostridiales,Ruminococcaceae,Flintibacter
psac02.029,Otu318,0,0,18100,0,JC,cellobiose,1,Clostridiales,Lachnospiraceae,Blautia
psac02.029,Otu14,1,0.0024813895781637717,18100,5.524861878453039e-5,JC,cellobiose,1,Bacteroidales,Bacteroidaceae,Bacteroides
psac02.029,Otu111,0,0,18100,0,JC,cellobiose,1,Clostridiales,Lachnospiraceae,Blautia
psac02.029,Otu97,0,0,18100,0,JC,cellobiose,1,Clostridiales,Ruminococcaceae,Flavonifractor
psac02.029,Otu20,0,0,18100,0,JC,cellobiose,1,Bacteroidales,Bacteroidaceae,Bacteroides
psac02.029,Otu355,0,0,18100,0,JC,cellobiose,1,Clostridiales,Lachnospiraceae,Butyrivibrio
psac02.029,Otu187,1,0.0024813895781637717,18100,5.524861878453039e-5,JC,cellobiose,1,Clostridiales,Ruminococcaceae,Ruminococcus
psac02.029,Otu321,1,0.0024813895781637717,18100,5.524861878453039e-5,JC,cellobiose,1,Clostridiales,Lachnospiraceae,Acetatifactor
psac02.029,Otu148,1,0.0024813895781637717,18100,5.524861878453039e-5,JC,cellobiose,1,Clostridiales,Lachnospiraceae,Clostridium_XlVa
psac02.029,Otu641,0,0,18100,0,JC,cellobiose,1,Eggerthellales,Eggerthellaceae,Adlercreutzia
psac02.029,Otu172,0,0,18100,0,JC,cellobiose,1,Clostridiales,Lachnospiraceae,Clostridium_XlVa
psac02.029,Otu19,0,0,18100,0,JC,cellobiose,1,Bacteroidales,Muribaculaceae,Muribaculum
psac02.029,Otu304,0,0,18100,0,JC,cellobiose,1,Clostridiales,Ruminococcaceae,Phocea
psac02.029,Otu236,0,0,18100,0,JC,cellobiose,1,Clostridiales,Clostridiaceae_2,Alkaliphilus
psac02.029,Otu334,0,0,18100,0,JC,cellobiose,1,Clostridiales,Lachnospiraceae,Enterocloster
psac02.029,Otu17,0,0,18100,0,JC,cellobiose,1,Bacteroidales,Muribaculaceae,Muribaculum
psac02.029,Otu178,0,0,18100,0,JC,cellobiose,1,Clostridiales,Lachnospiraceae,Vallitalea
psac02.029,Otu243,0,0,18100,0,JC,cellobiose,1,Clostridiales,Lachnospiraceae,Faecalicatena
psac02.029,Otu500,0,0,18100,0,JC,cellobiose,1,Clostridiales,Peptostreptococcaceae,Filifactor
psac02.029,Otu170,0,0,18100,0,JC,cellobiose,1,Eggerthellales,Eggerthellaceae,Adlercreutzia
psac02.029,Otu667,0,0,18100,0,JC,cellobiose,1,Clostridiales,Lachnospiraceae,Roseburia
psac02.029,Otu130,0,0,18100,0,JC,cellobiose,1,Clostridiales,Clostridiaceae_2,Alkaliphilus
psac02.029,Otu230,0,0,18100,0,JC,cellobiose,1,Clostridiales,Lachnospiraceae,Anaerostipes
psac02.029,Otu48,0,0,18100,0,JC,cellobiose,1,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto
