OTU,d0_otu_biomass,d0_total_biomass,d0_scaled_biomass,early_otu_biomass,early_total_biomass,early_scaled_biomass,late_otu_biomass,late_total_biomass,late_scaled_biomass,early_delta,late_delta,early_type,late_type,genus,family
Otu43,0.000020639593949037,0.79096651724274,0.0000260941436825737,0.00824571764592433,0.70837687558537,0.0116402976016269,0.00569457079692549,0.843305172427757,0.00675268097850227,0.0082250780519753,-0.00255114684899884,Gained,Displaced,Duncaniella,Muribaculaceae
Otu115,0,0.79096651724274,0,0.0000134691018802866,0.70837687558537,0.0000190140338349644,0.00979268577998969,0.843305172427757,0.011612268132778,0.0000134691018802866,0.00977921667810941,Gained,Gained,Acetatifactor,Lachnospiraceae
Otu79,0.00000773156022885418,0.79096651724274,0.0000097748261908809,0.00551049626533271,0.70837687558537,0.00777904595033412,0.00854166121940774,0.843305172427757,0.0101287902632181,0.00550276470510386,0.00303116495407502,Gained,Gained,Duncaniella,Muribaculaceae
Otu122,0,0.79096651724274,0,0.0000213784122334891,0.70837687558537,0.0000301794326866232,0.00234926849299919,0.843305172427757,0.00278578688926569,0.0000213784122334891,0.0023278900807657,Gained,Gained,Kineothrix,Lachnospiraceae
Otu74,0,0.79096651724274,0,0.000296630488130156,0.70837687558537,0.000418746712877992,0.00569393852181759,0.843305172427757,0.00675193122013653,0.000296630488130156,0.00539730803368743,Gained,Gained,Odoribacter,Odoribacteraceae
Otu72,0,0.79096651724274,0,0.00370991935390287,0.70837687558537,0.00523721126672459,0.0114343953435104,0.843305172427757,0.0135590243216371,0.00370991935390287,0.0077244759896075,Gained,Gained,Alistipes,Rikenellaceae
Otu105,0.0000245213520354358,0.79096651724274,0.0000310017573448187,0.000286809797949886,0.70837687558537,0.000404883061312355,0.00306574732763833,0.843305172427757,0.00363539490551502,0.00026228844591445,0.00277893752968844,Gained,Gained,Clostridium_XlVa,Lachnospiraceae
Otu36,0.0000138539092517273,0.79096651724274,0.0000175151652436833,0.0317951889842369,0.70837687558537,0.0448845665070064,0.00997321487600341,0.843305172427757,0.011826341402949,0.0317813350749852,-0.0218219741082335,Gained,Displaced,Muribaculum,Muribaculaceae
Otu51,0,0.79096651724274,0,0.0000213784122334891,0.70837687558537,0.0000301794326866232,0.0251113462042054,0.843305172427757,0.0297772941815516,0.0000213784122334891,0.0250899677919719,Gained,Gained,Agathobacter,Lachnospiraceae
Otu103,0.00014069126738869,0.79096651724274,0.000177872595516598,0.00161816389832372,0.70837687558537,0.00228432625921977,0.000720781942263374,0.843305172427757,0.000854710685798765,0.00147747263093503,-0.000897381956060347,Gained,Displaced,Acetatifactor,Lachnospiraceae
