OTU,MouseGroup,group_Count,Instances_OTU,Class,Order,Family,prop_OTU,alpha
Otu137,JEJ,0.00303951367781155,0.0060790273556231,Clostridia,Clostridiales,Ruminococcaceae,0.0379939209726444,0.01
Otu138,E,0.00313945470893387,0.0753469130144129,Clostridia,Clostridiales,Lachnospiraceae,0.470918206340081,0.01
Otu138,JEJ,0.000595212542888048,0.02440371425841,Clostridia,Clostridiales,Lachnospiraceae,0.152523214115062,0.01
Otu138,J,0.00127962353408706,0.0742181649770493,Clostridia,Clostridiales,Lachnospiraceae,0.463863531106558,0.01
Otu139,E,0.000554070920465248,0.00498663828418723,Clostridia,Clostridiales,Lachnospiraceae,0.0311664892761702,0.01
Otu139,JEE,0.00355497428538788,0.0568795885662061,Clostridia,Clostridiales,Lachnospiraceae,0.473996571385051,0.01
Otu139,JEJ,0.00062640108450548,0.00876961518307672,Clostridia,Clostridiales,Lachnospiraceae,0.0548100948942295,0.01
Otu139,J,0.000847521207563995,0.0500037512462757,Clostridia,Clostridiales,Lachnospiraceae,0.312523445289223,0.01
Otu14,E,0.000849443111890932,0.37375496923201,Bacteroidia,Bacteroidales,Dysgonomonadaceae,2.33596855770006,1
Otu14,JEE,0.00131150087132178,0.245250662937172,Bacteroidia,Bacteroidales,Dysgonomonadaceae,2.04375552447644,1
Otu14,JEJ,0.000707114286693612,0.260925171789943,Bacteroidia,Bacteroidales,Dysgonomonadaceae,1.63078232368714,1
Otu143,JEJ,0.00125865772747723,0.00755194636486341,Clostridia,Clostridiales,Lachnospiraceae,0.0471996647803963,0.01
Otu143,J,0.000843622033047431,0.017716062693996,Clostridia,Clostridiales,Lachnospiraceae,0.110725391837475,0.01
Otu147,E,0.00303951367781155,0.0060790273556231,Clostridia,Clostridiales,Lachnospiraceae,0.0379939209726444,0.01
Otu147,J,0.000871227427332722,0.0487887359306324,Clostridia,Clostridiales,Lachnospiraceae,0.304929599566453,0.01
Otu148,J,0.0018113407324677,0.170266028851964,Clostridia,Clostridiales,Lachnospiraceae,1.06416268032478,1
Otu15,E,0.000553415183634862,0.524637594085849,Bacilli,Lactobacillales,Lactobacillaceae,3.27898496303656,1
Otu15,JEE,0.0022598795753493,0.0971748217400201,Bacilli,Lactobacillales,Lactobacillaceae,0.809790181166834,1
Otu15,JEJ,0.00511493712323396,0.537068397939566,Bacilli,Lactobacillales,Lactobacillaceae,3.35667748712229,1
Otu150,E,0.00659953402076005,0.0659953402076005,Thermotogae,Thermotogales,Thermotogaceae,0.412470876297503,0.01
Otu150,JEE,0.000817554214293345,0.00327021685717338,Thermotogae,Thermotogales,Thermotogaceae,0.0272518071431115,0.01
Otu150,JEJ,0.000240783803347501,0.00914978452720504,Thermotogae,Thermotogales,Thermotogaceae,0.0571861532950315,0.01
Otu150,J,0.000752442665427331,0.00376221332713666,Thermotogae,Thermotogales,Thermotogaceae,0.0235138332946041,0.01
Otu153,E,0.00131628265138419,0.0118465438624577,Clostridia,Clostridiales,Ruminococcaceae,0.0740408991403609,0.01
Otu153,JEE,0.000438515558029077,0.0144710134149595,Clostridia,Clostridiales,Ruminococcaceae,0.120591778457996,0.01
Otu153,JEJ,0.00120374009438677,0.0132411410382545,Clostridia,Clostridiales,Ruminococcaceae,0.0827571314890908,0.01
Otu153,J,0.000684186706166104,0.00615768035549494,Clostridia,Clostridiales,Ruminococcaceae,0.0384855022218434,0.01
Otu154,J,0.00061571418751528,0.0172399972504278,Clostridia,Clostridiales,Ruminococcaceae,0.107749982815174,0.01
Otu156,J,0.00241474128188099,0.0193179302550479,Clostridia,Clostridiales,Ruminococcaceae,0.12073706409405,0.01
Otu157,E,0.000350093219363168,0.000700186438726337,Clostridia,Clostridiales,Lachnospiraceae,0.00437616524203961,0.01
Otu157,JEJ,0.00125865772747723,0.00251731545495447,Clostridia,Clostridiales,Lachnospiraceae,0.0157332215934654,0.01
Otu157,J,0.000944571382677809,0.0755657106142247,Clostridia,Clostridiales,Lachnospiraceae,0.472285691338904,0.01
Otu16,E,0.000725686585610323,0.276486589117533,Bacteroidia,Bacteroidales,Muribaculaceae,1.72804118198458,1
