seqid,OTU,read_count,sporo_read_count,rel_abd,domain,phylum,class,order,family,genus,mouse_type,polysacc,replicate
psac.001,Otu23,2,26722,1.584786053882726e-4,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculum,EC,amylopectin,1
psac.001,Otu3,4,26722,3.169572107765452e-4,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Duncaniella,EC,amylopectin,1
psac.001,Otu175,0,26722,0,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Enterocloster,EC,amylopectin,1
psac.001,Otu21,0,26722,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,EC,amylopectin,1
psac.001,Otu193,0,26722,0,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Enterocloster,EC,amylopectin,1
psac.001,Otu39,2,26722,1.584786053882726e-4,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculum,EC,amylopectin,1
psac.001,Otu40,1,26722,7.92393026941363e-5,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Barnesiella,EC,amylopectin,1
psac.001,Otu76,1,26722,7.92393026941363e-5,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,Mucispirillum,EC,amylopectin,1
psac.001,Otu12,1,26722,7.92393026941363e-5,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculum,EC,amylopectin,1
psac.001,Otu90,98,26722,0.007765451664025357,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,EC,amylopectin,1
psac.001,Otu130,1,26722,7.92393026941363e-5,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Dysosmobacter,EC,amylopectin,1
psac.001,Otu151,0,26722,0,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Enterocloster,EC,amylopectin,1
psac.001,Otu748,0,26722,0,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Longibaculum,EC,amylopectin,1
psac.001,Otu17,0,26722,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculum,EC,amylopectin,1
psac.001,Otu2,3,26722,2.3771790808240888e-4,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,EC,amylopectin,1
psac.001,Otu22,0,26722,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculum,EC,amylopectin,1
psac.001,Otu484,0,26722,0,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Amedibacillus,EC,amylopectin,1
psac.001,Otu521,0,26722,0,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Phocea,EC,amylopectin,1
psac.001,Otu42,0,26722,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculum,EC,amylopectin,1
psac.001,Otu30,0,26722,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculum,EC,amylopectin,1
psac.001,Otu43,1,26722,7.92393026941363e-5,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculum,EC,amylopectin,1
psac.001,Otu58,0,26722,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculum,EC,amylopectin,1
psac.001,Otu20,0,26722,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,EC,amylopectin,1
psac.001,Otu70,0,26722,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,EC,amylopectin,1
psac.001,Otu86,0,26722,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculum,EC,amylopectin,1
psac.001,Otu75,2,26722,1.584786053882726e-4,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Barnesiellaceae,Muribaculum,EC,amylopectin,1
psac.001,Otu77,1,26722,7.92393026941363e-5,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Duncaniella,EC,amylopectin,1
psac.001,Otu63,0,26722,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculum,EC,amylopectin,1
psac.001,Otu94,0,26722,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,EC,amylopectin,1
psac.001,Otu269,0,26722,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,EC,amylopectin,1
psac.001,Otu824,0,26722,0,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Mogibacterium,EC,amylopectin,1
psac.001,Otu46,7,26722,5.546751188589541e-4,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,EC,amylopectin,1
psac.001,Otu390,0,26722,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,EC,amylopectin,1
psac.001,Otu170,0,26722,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,EC,amylopectin,1
psac.001,Otu567,0,26722,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,EC,amylopectin,1
psac.001,Otu190,0,26722,0,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Parasutterella,EC,amylopectin,1
psac.001,Otu668,0,26722,0,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Intestinimonas,EC,amylopectin,1
psac.001,Otu393,0,26722,0,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Acetatifactor,EC,amylopectin,1
psac.001,Otu747,0,26722,0,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Clostridium_IV,EC,amylopectin,1
psac.001,Otu682,0,26722,0,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,EC,amylopectin,1
psac.001,Otu978,0,26722,0,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Catenisphaera,EC,amylopectin,1
psac.001,Otu1100,0,26722,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,EC,amylopectin,1
psac.001,Otu1689,0,26722,0,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Tepidibaculum,EC,amylopectin,1
psac.001,Otu168,0,26722,0,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,EC,amylopectin,1
psac.001,Otu1130,0,26722,0,Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,Christensenella,EC,amylopectin,1
psac.001,Otu632,0,26722,0,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Amedibacillus,EC,amylopectin,1
psac.001,Otu55,0,26722,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,EC,amylopectin,1
psac.001,Otu1318,2,26722,1.584786053882726e-4,Bacteria,Actinobacteria,Actinobacteria,Mycobacteriales,Corynebacteriaceae,Corynebacterium,EC,amylopectin,1
psac.001,Otu207,12427,26722,0.9847068145800317,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia/Shigella,EC,amylopectin,1
psac.001,Otu1625,0,26722,0,NA,Bacteria,Cyanobacteria/Chloroplast,Chloroplast,Chloroplast,Streptophyta,EC,amylopectin,1
psac.001,Otu62,0,26722,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Paramuribaculum,EC,amylopectin,1
psac.001,Otu98,0,26722,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculum,EC,amylopectin,1
psac.001,Otu28,0,26722,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,EC,amylopectin,1
psac.001,Otu31,1,26722,7.92393026941363e-5,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculum,EC,amylopectin,1
psac.001,Otu147,0,26722,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Alistipes,EC,amylopectin,1
psac.001,Otu891,0,26722,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,EC,amylopectin,1
psac.001,Otu145,0,26722,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Alistipes,EC,amylopectin,1
psac.001,Otu163,0,26722,0,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,EC,amylopectin,1
psac.001,Otu138,0,26722,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Duncaniella,EC,amylopectin,1
psac.001,Otu550,13,26722,0.0010301109350237718,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,EC,amylopectin,1
psac.001,Otu398,0,26722,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,EC,amylopectin,1
psac.001,Otu199,0,26722,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Sphingobacteriaceae,Sphingobacterium,EC,amylopectin,1
psac.001,Otu139,2,26722,1.584786053882726e-4,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,EC,amylopectin,1
psac.001,Otu118,0,26722,0,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Parasutterella,EC,amylopectin,1
psac.001,Otu329,0,26722,0,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Amedibacillus,EC,amylopectin,1
psac.001,Otu246,0,26722,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,EC,amylopectin,1
psac.001,Otu178,0,26722,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Paramuribaculum,EC,amylopectin,1
psac.001,Otu89,0,26722,0,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Faecalibaculum,EC,amylopectin,1
psac.001,Otu1079,4,26722,3.169572107765452e-4,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,EC,amylopectin,1
psac.001,Otu788,0,26722,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,EC,amylopectin,1
psac.001,Otu496,0,26722,0,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Paraeggerthella,EC,amylopectin,1
psac.001,Otu1357,0,26722,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,EC,amylopectin,1
psac.001,Otu303,0,26722,0,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Turicimonas,EC,amylopectin,1
psac.001,Otu1015,0,26722,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,EC,amylopectin,1
psac.001,Otu606,0,26722,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,EC,amylopectin,1
psac.001,Otu599,0,26722,0,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Paraeggerthella,EC,amylopectin,1
psac.001,Otu289,1,26722,7.92393026941363e-5,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Schaedlerella,EC,amylopectin,1
psac.001,Otu576,1,26722,7.92393026941363e-5,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,EC,amylopectin,1
psac.001,Otu1223,0,26722,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,EC,amylopectin,1
psac.001,Otu658,3,26722,2.3771790808240888e-4,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,EC,amylopectin,1
psac.001,Otu742,1,26722,7.92393026941363e-5,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,EC,amylopectin,1
psac.001,Otu1305,5,26722,3.961965134706815e-4,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,EC,amylopectin,1
psac.001,Otu1380,0,26722,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,EC,amylopectin,1
psac.001,Otu1480,9,26722,7.131537242472267e-4,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,EC,amylopectin,1
psac.001,Otu1011,0,26722,0,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Slackia,EC,amylopectin,1
psac.001,Otu1292,0,26722,0,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,EC,amylopectin,1
psac.001,Otu603,2,26722,1.584786053882726e-4,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Sporobacter,EC,amylopectin,1
psac.001,Otu662,0,26722,0,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Olsenella,EC,amylopectin,1
psac.001,Otu1320,0,26722,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,EC,amylopectin,1
psac.001,Otu455,2,26722,1.584786053882726e-4,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Enterocloster,EC,amylopectin,1
psac.001,Otu561,0,26722,0,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Eggerthella,EC,amylopectin,1
psac.001,Otu141,2,26722,1.584786053882726e-4,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Enterocloster,EC,amylopectin,1
psac.001,Otu1647,0,26722,0,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Kocuria,EC,amylopectin,1
psac.001,Otu1796,1,26722,7.92393026941363e-5,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae_1,Bacillus,EC,amylopectin,1
psac.001,Otu1970,0,26722,0,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,EC,amylopectin,1
psac.001,Otu1207,1,26722,7.92393026941363e-5,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,EC,amylopectin,1
psac.001,Otu1655,0,26722,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,EC,amylopectin,1
psac.001,Otu1746,0,26722,0,Bacteria,Actinobacteria,Actinobacteria,Mycobacteriales,Corynebacteriaceae,Corynebacterium,EC,amylopectin,1
psac.001,Otu1786,0,26722,0,Bacteria,Actinobacteria,Actinobacteria,Mycobacteriales,Lawsonellaceae,Lawsonella,EC,amylopectin,1
psac.001,Otu1476,0,26722,0,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,EC,amylopectin,1
psac.001,Otu472,3,26722,2.3771790808240888e-4,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Enterocloster,EC,amylopectin,1
psac.001,Otu1590,0,26722,0,Bacteria,Actinobacteria,Actinobacteria,Mycobacteriales,Corynebacteriaceae,Corynebacterium,EC,amylopectin,1
psac.001,Otu2037,0,26722,0,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae_1,Bacillus,EC,amylopectin,1
psac.001,Otu1985,0,26722,0,Bacteria,Actinobacteria,Actinobacteria,Mycobacteriales,Nocardiaceae,Rhodococcus,EC,amylopectin,1
psac.001,Otu1904,0,26722,0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,EC,amylopectin,1
psac.001,Otu1622,0,26722,0,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,EC,amylopectin,1
psac.001,Otu2018,0,26722,0,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,EC,amylopectin,1
psac.001,Otu1382,0,26722,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,EC,amylopectin,1
psac.001,Otu1738,0,26722,0,Bacteria,Actinobacteria,Actinobacteria,Mycobacteriales,Corynebacteriaceae,Corynebacterium,EC,amylopectin,1
psac.001,Otu1779,0,26722,0,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Kocuria,EC,amylopectin,1
psac.001,Otu26,2,26722,1.584786053882726e-4,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Duncaniella,EC,amylopectin,1
psac.001,Otu698,0,26722,0,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Sphingobacteriaceae,Pedobacter,EC,amylopectin,1
psac.001,Otu763,0,26722,0,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,EC,amylopectin,1
psac.001,Otu1801,0,26722,0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Leclercia,EC,amylopectin,1
psac.001,Otu1389,0,26722,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,EC,amylopectin,1
psac.001,Otu1811,0,26722,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,EC,amylopectin,1
psac.001,Otu1823,0,26722,0,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Polaromonas,EC,amylopectin,1
psac.001,Otu1403,0,26722,0,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,EC,amylopectin,1
psac.001,Otu1974,0,26722,0,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Macrococcus,EC,amylopectin,1
psac.001,Otu1614,0,26722,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,EC,amylopectin,1
psac.001,Otu1760,0,26722,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,EC,amylopectin,1
psac.001,Otu2044,0,26722,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,EC,amylopectin,1
psac.001,Otu1510,0,26722,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,EC,amylopectin,1
psac.001,Otu1903,0,26722,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,EC,amylopectin,1
psac.001,Otu1304,0,26722,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,EC,amylopectin,1
psac.001,Otu1449,0,26722,0,Bacteria,Actinobacteria,Actinobacteria,Mycobacteriales,Corynebacteriaceae,Corynebacterium,EC,amylopectin,1
psac.001,Otu1770,0,26722,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,EC,amylopectin,1
psac.001,Otu1592,0,26722,0,Bacteria,Actinobacteria,Actinobacteria,Mycobacteriales,Corynebacteriaceae,Corynebacterium,EC,amylopectin,1
psac.001,Otu1971,0,26722,0,Bacteria,Actinobacteria,Actinobacteria,Mycobacteriales,Corynebacteriaceae,Corynebacterium,EC,amylopectin,1
psac.001,Otu1979,1,26722,7.92393026941363e-5,Bacteria,Actinobacteria,Actinobacteria,Mycobacteriales,Corynebacteriaceae,Corynebacterium,EC,amylopectin,1
psac.001,Otu1916,0,26722,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,EC,amylopectin,1
psac.001,Otu1743,0,26722,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,EC,amylopectin,1
psac.001,Otu1013,0,26722,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Odoribacteraceae,Butyricimonas,EC,amylopectin,1
