assembly,d0_abundance,d5_abundance,log2fold_change,shift
AZC3J_78,0.000288893074955454,0.000198106448471026,-0.544259780042725,unchanged
AZC3J_79,0.0103659291308866,0.00495467362607086,-1.06498750300169,unchanged
AZC3J_7,0.000411955345794876,0.000362080693913019,-0.186176709298064,unchanged
AZC3J_80,0.0000453384209794471,0.0000270454405738017,-0.745348747221488,unchanged
AZC3J_81,0.00130994967211367,0.00104328451142844,-0.328378739745173,unchanged
AZC3J_82,0.0190381427401812,0.0126585402452688,-0.588781697893265,unchanged
AZC3J_83,0.000461465792397977,0.000275089578783499,-0.746322220447416,unchanged
AZC3J_84,0.000913708169753378,0.000147432589603903,-2.63167799111125,unchanged
AZC3J_85,0.000022941865647797,0.0000352834449983454,0.621008712312716,unchanged
AZC3J_86,0.0000982386575107483,0.000112451697680786,0.194942690939194,unchanged
AZC3J_87,0.0307894818579748,0.00537894790758852,-2.51704166680573,depleted
AZC3J_88,0.00302356170613408,0.00229896524576721,-0.395264365910736,unchanged
AZC3J_89,0.000291694884564124,0.000299548919356136,0.0383315428876295,unchanged
AZC3J_8,0.00026616101058604,0.000229598171237928,-0.213188098194869,unchanged
AZC3J_90,0.00066678659499829,0.000923512485788438,0.469906365580529,unchanged
AZC3J_91,0.0012302566701409,0.00192180759346885,0.643504565933987,unchanged
AZC3J_92,0.000752538886092532,0.0000508747558657151,-3.88674426106595,unchanged
AZC3J_93,0.000142820055679325,0.0000760287316299808,-0.909581957559173,unchanged
AZC3J_94,0.00086307093303141,0.000410982194412377,-1.07040324349815,unchanged
AZC3J_95,0.00159642732957249,0.00336786207278303,1.07698617359923,unchanged
AZC3J_96,0.000269835641164769,0.000188682381977166,-0.51612119977534,unchanged
AZC3J_97,0.000309266908254695,0.000216700460626755,-0.513150252365387,unchanged
AZC3J_98,0.000494857962255129,0.000187463028254181,-1.40040839861137,unchanged
AZC3J_99,0.00294564564218477,0.000228842776787857,-3.68615522581667,unchanged
AZC3J_9,0.00134121661170807,0.000211385808489352,-2.66559182802564,unchanged
AZC5T_100,0.00018215243269316,0.000110073613093861,-0.726677596065113,unchanged
AZC5T_101,0.0000140538710574369,0.0000518834991695391,1.88430821511098,unchanged
AZC5T_102,0.0000188284644868306,0.0011501281809583,5.93273549823634,unchanged
AZC5T_103,0.000239859860263318,0.000257320393599182,0.101374052863093,unchanged
AZC5T_104,0.000773807088815006,0.000961750292892733,0.313688418570483,unchanged
AZC5T_105,0.00000719723368088314,0.00000533836523011255,-0.431044488335916,unchanged
AZC5T_106,0.0280383733710336,0.00136881599738331,-4.35640222375133,depleted
AZC5T_107,0.000765327178413761,0.00325123800798168,2.08684063398724,unchanged
AZC5T_108,0.00000827124388650395,0.00000836632048808154,0.0164889561550763,unchanged
AZC5T_109,0.000335381173549006,0.00936016327106277,4.80266008388707,enriched
AZC5T_10,0.00000399646823813588,0.0000553804393701667,3.79257897101879,unchanged
