index,score,group,family,module_category,module,percentage
108,21.95,AZC3J,Muribaculaceae,Energy metabolism,M00167,0.2344582593250444
109,21.95,AZC3J,Muribaculaceae,Metabolism of cofactors and vitamins,M00950,0.2344582593250444
110,21.95,AZC3J,Muribaculaceae,Metabolism of cofactors and vitamins,M00124,0.24014209591474245
111,21.95,AZC3J,Muribaculaceae,Carbohydrate metabolism,M00552,0.24014209591474245
112,20.87,AZC3J,Muribaculaceae,Amino acid metabolism,M00022,0.014209591474245116
113,20.87,AZC3J,Muribaculaceae,Lipid metabolism,M00082,0.020959147424511545
114,20.87,AZC3J,Muribaculaceae,Metabolism of cofactors and vitamins,M00120,0.030905861456483125
115,20.87,AZC3J,Muribaculaceae,Energy metabolism,M00166,0.035879218472468916
116,20.87,AZC3J,Muribaculaceae,Metabolism of cofactors and vitamins,M00899,0.04049733570159858
117,20.87,AZC3J,Muribaculaceae,Energy metabolism,M00345,0.045115452930728245
118,20.87,AZC3J,Muribaculaceae,Nucleotide metabolism,M00051,0.06465364120781528
119,20.87,AZC3J,Muribaculaceae,Carbohydrate metabolism,M00003,0.07708703374777975
120,20.87,AZC3J,Muribaculaceae,Nucleotide metabolism,M00048,0.10230905861456484
121,20.87,AZC3J,Muribaculaceae,Carbohydrate metabolism,M00549,0.10905861456483126
122,20.87,AZC3J,Muribaculaceae,Carbohydrate metabolism,M00855,0.11616341030195382
123,20.87,AZC3J,Muribaculaceae,Energy metabolism,M00173,0.14813499111900533
124,20.87,AZC3J,Muribaculaceae,Energy metabolism,M00169,0.15062166962699822
125,20.87,AZC3J,Muribaculaceae,Amino acid metabolism,M00621,0.15950266429840143
126,20.87,AZC3J,Muribaculaceae,Metabolism of cofactors and vitamins,M00115,0.16873889875666073
127,20.87,AZC3J,Muribaculaceae,Nucleotide metabolism,M00052,0.17406749555950266
128,20.87,AZC3J,Muribaculaceae,Biosynthesis of terpenoids and polyketides,M00793,0.1847246891651865
129,20.87,AZC3J,Muribaculaceae,Gene set,M00627,0.1936056838365897
130,20.87,AZC3J,Muribaculaceae,Metabolism of cofactors and vitamins,M00123,0.20461811722912968
