OTU,domain,dconf,phylum,pconf,class,cconf,order,oconf,family,fconf,genus,gconf
Otu1519,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Ruminococcaceae,0.7200,Acetivibrio,0.7200
Otu1520,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Ruminococcaceae,0.9900,Acutalibacter,0.3500
Otu1521,Bacteria,1.0000,Firmicutes,0.6400,Clostridia,0.2900,Clostridiales,0.2900,Spiroplasmataceae,0.2200,Spiroplasma,0.2200
Otu1522,Bacteria,1.0000,Firmicutes,0.6400,Clostridia,0.5000,Clostridiales,0.5000,Eubacteriaceae,0.2000,Acetobacterium,0.1700
Otu1523,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Ruminococcaceae,1.0000,Ethanoligenens,0.4700
Otu1524,Eukaryota,1.0000,Plantae,1.0000,Liliopsida,1.0000,Poales,1.0000,Poaceae,1.0000,Zea,1.0000
Otu1525,Bacteria,1.0000,Firmicutes,0.9900,Clostridia,0.9900,Clostridiales,0.9900,Ruminococcaceae,0.9000,Butyricicoccus,0.3700
Otu1526,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,0.9800,Clostridiales,0.9800,Lachnospiraceae,0.3700,Anaerosolibacter,0.2300
Otu1527,Bacteria,1.0000,Firmicutes,0.9200,Clostridia,0.9000,Clostridiales,0.9000,Clostridiales_Incertae_Sedis_XIII,0.2300,Mogibacterium,0.1400
Otu1528,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,0.8900,Enterocloster,0.4600
Otu1529,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,0.9900,Enterocloster,0.7900
Otu1530,Bacteria,1.0000,Firmicutes,0.9600,Clostridia,0.8600,Clostridiales,0.8500,Gottschalkiaceae,0.3000,Gottschalkia,0.3000
Otu1531,Bacteria,1.0000,Bacteroidetes,1.0000,Bacteroidia,1.0000,Bacteroidales,1.0000,Muribaculaceae,0.9600,Paramuribaculum,0.5900
Otu1532,Bacteria,1.0000,Bacteroidetes,1.0000,Bacteroidia,1.0000,Bacteroidales,1.0000,Muribaculaceae,0.9900,Duncaniella,0.6300
Otu1533,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,1.0000,Cuneatibacter,0.3100
Otu1534,Bacteria,1.0000,Firmicutes,1.0000,Erysipelotrichia,1.0000,Erysipelotrichales,1.0000,Erysipelotrichaceae,1.0000,Faecalibacillus,0.3800
Otu1535,Bacteria,1.0000,Firmicutes,0.9900,Clostridia,0.9800,Clostridiales,0.9800,Ruminococcaceae,0.9700,Papillibacter,0.7100
Otu1536,Bacteria,1.0000,Firmicutes,1.0000,Bacilli,1.0000,Lactobacillales,1.0000,Streptococcaceae,1.0000,Streptococcus,1.0000
Otu1537,Bacteria,1.0000,Tenericutes,0.3000,Mollicutes,0.3000,Clostridiales,0.2200,Spiroplasmataceae,0.1400,Spiroplasma,0.1400
Otu1538,Bacteria,1.0000,Firmicutes,0.9900,Clostridia,0.9900,Clostridiales,0.9900,Ruminococcaceae,0.9200,Ethanoligenens,0.4100
Otu1539,Bacteria,1.0000,Bacteroidetes,1.0000,Bacteroidia,1.0000,Bacteroidales,1.0000,Muribaculaceae,1.0000,Paramuribaculum,0.9800
Otu1540,Bacteria,1.0000,Firmicutes,0.9600,Clostridia,0.8800,Clostridiales,0.8800,Lachnospiraceae,0.4500,Clostridium_sensu_stricto,0.2100
