gene,postFMT_2_jejunum
gene_4542711,1183
gene_4023847,1183
gene_4034273,1181
gene_4309799,1181
gene_4067681,1181
gene_3617341,1180
gene_3878529,1180
gene_4601967,1179
gene_4090523,1179
gene_3980224,1174
gene_3986306,1174
gene_3782836,1174
gene_3870295,1174
gene_4419114,1171
gene_2560333,1169
gene_2507054,1167
gene_2588043,1166
gene_3419734,1165
gene_4160203,1163
gene_4568437,1163
gene_3930336,1162
gene_4513576,1155
gene_3894563,1154
gene_4153791,1153
gene_4458882,1153
gene_4609872,1148
gene_4436151,1147
gene_4249474,1144
gene_4513875,1144
gene_4088308,1142
gene_3656089,1141
gene_2794975,1141
gene_3793510,1140
gene_4089409,1137
gene_4073625,1137
gene_2688324,1135
gene_3892935,1134
gene_4419666,1133
gene_3740383,1133
gene_3431941,1133
gene_4123435,1132
gene_4095929,1131
gene_4465933,1130
gene_4153792,1130
gene_3244653,1128
gene_3408849,1126
gene_3247778,1123
gene_3979507,1122
gene_2347056,1119
gene_4152129,1118
gene_3789038,1115
gene_3913539,1115
gene_3700930,1114
gene_3259552,1112
gene_4598259,1112
gene_3317329,1111
gene_4540214,1111
gene_4009128,1110
gene_4445564,1110
gene_2855784,1103
gene_4059909,1101
gene_4492526,1100
gene_3000862,1099
gene_4612983,1098
gene_4146198,1096
gene_4504041,1093
gene_4474117,1090
gene_3729740,1089
gene_4463221,1088
gene_4147143,1087
gene_4087327,1085
gene_3300666,1084
gene_4137251,1084
gene_4001575,1083
gene_3521261,1082
gene_3501541,1082
gene_2658890,1082
gene_4086729,1079
gene_4348081,1076
gene_3913946,1076
gene_4117699,1075
gene_3911803,1075
gene_4523717,1074
gene_4089261,1074
gene_4503882,1074
gene_4358652,1074
gene_2788973,1073
gene_3576986,1073
gene_4495266,1071
gene_3558225,1069
gene_3782941,1066
gene_2489998,1064
gene_3020502,1063
gene_1796288,1059
gene_4105483,1051
gene_4258310,1051
gene_3818620,1047
gene_2938602,1045
gene_3584032,1045
gene_3352067,1041
gene_2836625,1038
gene_4157349,1038
gene_3868655,1036
gene_2382596,1036
gene_4497716,1035
gene_3144828,1035
gene_4448664,1034
gene_4003577,1031
gene_2583973,1030
gene_4435122,1029
gene_3740385,1027
gene_3452368,1027
gene_3616270,1027
gene_3252853,1026
gene_4018401,1025
gene_4596036,1025
gene_3477282,1024
gene_4548236,1018
gene_4155791,1016
gene_4016255,1013
gene_4099366,1012
gene_3405831,1009
gene_3611881,1008
gene_3986267,1006
gene_4252529,1005
gene_4200727,1005
gene_2794778,1002
gene_2256624,1000
gene_4306960,998
gene_4225054,997
gene_4489830,995
gene_3825579,994
gene_4330947,994
gene_3985860,993
gene_3209751,993
gene_4387186,991
gene_3535619,990
gene_2974536,990
gene_2892854,990
gene_3736960,985
gene_3557530,985
gene_4426836,983
gene_4218946,982
gene_4159504,980
gene_3886870,980
gene_3942197,979
gene_3992068,978
gene_4363576,977
gene_4073708,977
gene_3267496,976
gene_2398524,976
gene_3293886,975
gene_4513989,973
gene_2400855,967
gene_3388185,966
gene_2687372,965
gene_2777823,963
gene_3537520,962
gene_3716832,962
gene_4265295,960
gene_4255344,959
gene_3583194,958
gene_4231946,957
gene_4409338,952
gene_4413039,952
gene_3485290,951
gene_4577249,951
gene_4618044,950
gene_4280827,950
gene_4593702,949
gene_3852974,947
gene_3996528,946
gene_3720711,946
gene_3340960,942
gene_2525169,940
gene_2195471,937
gene_4330948,937
gene_3675437,936
gene_3878528,935
gene_3873057,935
gene_3790399,935
gene_3866491,934
gene_3910325,934
gene_3731283,933
gene_4006072,932
gene_4392938,931
gene_3271895,930
gene_4630560,930
gene_4410001,929
gene_2982674,928
gene_3009815,928
gene_3052508,928
gene_2947255,927
gene_3339741,927
gene_3649966,927
gene_3312054,925
gene_1943946,924
gene_4282880,923
gene_4586186,922
gene_3524799,921
gene_3656090,920
gene_4153442,920
gene_4213680,919
gene_4308400,918
gene_4089602,918
gene_4182919,918
gene_4452723,917
gene_4290880,917
gene_4347666,915
gene_3917252,913
gene_3314903,913
