gene,postFMT_4_ileum
gene_3617341,4675
gene_4609966,4669
gene_3249762,4653
gene_3913539,4653
gene_3878529,4652
gene_4023847,4639
gene_4436151,4635
gene_4034273,4634
gene_4568437,4633
gene_2560333,4628
gene_3576986,4627
gene_4601967,4625
gene_2588043,4620
gene_2688324,4616
gene_4304252,4611
gene_3894563,4600
gene_3700930,4592
gene_3259552,4583
gene_4309799,4575
gene_2583973,4571
gene_4152129,4562
gene_4513875,4558
gene_4153792,4541
gene_4445564,4539
gene_4448664,4535
gene_2855784,4526
gene_3656089,4524
gene_4612983,4522
gene_4458882,4521
gene_4504041,4518
gene_4137251,4517
gene_4419666,4515
gene_4153791,4510
gene_3501541,4502
gene_4059909,4497
gene_3616270,4495
gene_3317329,4489
gene_4609872,4483
gene_4089409,4467
gene_4095929,4465
gene_4489830,4453
gene_4419114,4452
gene_3986306,4449
gene_3244653,4448
gene_3793510,4428
gene_3868655,4419
gene_4088308,4419
gene_3789038,4416
gene_4003577,4406
gene_3979507,4406
gene_4540214,4394
gene_4087327,4387
gene_4001575,4370
gene_3000862,4369
gene_3558225,4368
gene_4089261,4362
gene_3431941,4354
gene_4598259,4349
gene_2489998,4342
gene_4086729,4340
gene_4348081,4326
gene_4495266,4324
gene_4330947,4320
gene_4358652,4314
gene_3300666,4304
gene_3408849,4296
gene_2788973,4291
gene_3521261,4288
gene_3252853,4273
gene_3352067,4270
gene_2658890,4266
gene_4123435,4265
gene_4435122,4265
gene_3782941,4255
gene_4474117,4253
gene_1796288,4251
gene_4225054,4243
gene_3144828,4237
gene_3584032,4231
gene_4157349,4228
gene_4497716,4218
gene_4463221,4214
gene_3736960,4214
gene_4492526,4212
gene_3020502,4202
gene_3913946,4200
gene_3611881,4190
gene_3716832,4182
gene_3729740,4173
gene_3911803,4167
gene_3740385,4165
gene_4392938,4163
gene_4147143,4161
gene_4117699,4160
gene_3583194,4156
gene_4596036,4133
gene_4099366,4129
gene_4258310,4115
gene_4548236,4104
gene_4503882,4103
gene_4252529,4098
gene_2398524,4097
gene_4016255,4090
gene_4155791,4088
gene_4105483,4087
gene_4089602,4081
gene_2256624,4080
gene_2938602,4065
gene_3886870,4049
gene_4282880,4045
gene_3405831,4040
gene_2947255,4036
gene_3477282,4034
gene_3818620,4017
gene_3452368,4015
gene_4426836,4005
gene_4018401,4004
gene_4265295,4000
gene_2382596,3982
gene_2892854,3982
gene_4593702,3977
gene_3825579,3974
gene_4200727,3968
gene_3009815,3961
gene_4363576,3960
gene_4347666,3960
gene_3293886,3948
gene_4410001,3944
gene_2836625,3935
gene_2794778,3922
gene_3996528,3915
gene_3557530,3915
gene_3312054,3908
gene_3942197,3891
gene_4630560,3876
gene_4153442,3868
gene_4306960,3868
gene_3811264,3868
gene_4073708,3863
gene_3910325,3860
gene_3537520,3856
gene_4168454,3854
gene_4231946,3852
gene_4030929,3850
gene_3720711,3850
gene_3790399,3849
gene_4577249,3849
gene_3267496,3849
gene_4413039,3849
gene_4107239,3847
gene_4308400,3837
gene_3873057,3836
gene_3339741,3834
gene_4182919,3833
gene_4006072,3830
gene_2777823,3827
gene_4513989,3827
gene_2974536,3826
gene_4387186,3821
gene_3649676,3820
gene_3271895,3817
gene_3250146,3816
gene_2195471,3816
gene_3878528,3815
gene_3986267,3814
gene_4218946,3813
gene_3359669,3812
gene_4255344,3809
gene_3388185,3805
gene_4159504,3799
gene_3656090,3792
gene_3170172,3791
gene_3971172,3784
gene_1943946,3782
gene_3852974,3781
gene_3485290,3779
gene_2687372,3776
gene_4409338,3771
gene_4367107,3763
gene_4618044,3760
gene_3535619,3759
gene_4130003,3752
gene_3443561,3752
gene_2982674,3746
gene_4586186,3744
gene_4055708,3739
gene_4452723,3731
gene_3992068,3730
gene_2658003,3721
gene_4378040,3720
gene_2400855,3717
gene_4330948,3716
gene_3866491,3716
gene_3340960,3714
gene_3985860,3714
gene_3731283,3713
gene_4280827,3711
gene_3944013,3709
gene_3675437,3707
gene_3209751,3706
gene_4483276,3699
gene_3269065,3693
gene_4290880,3685
gene_3052508,3684
gene_3804073,3678
gene_4213680,3666
gene_4334388,3658
gene_3387999,3657
gene_3845096,3654
gene_4485093,3653
gene_3524799,3652
gene_4299283,3632
gene_4321906,3629
gene_3659756,3629
gene_4516147,3627
gene_3781212,3625
gene_3649966,3623
gene_2775055,3621
gene_3962232,3610
gene_2847653,3599
gene_3098645,3596
gene_3930784,3587
gene_3917252,3585
gene_3611523,3584
gene_2525169,3581
gene_4430403,3571
gene_4382686,3566
gene_4080231,3564
gene_3805266,3564
gene_3314903,3561
gene_3293038,3559
gene_3979470,3557
gene_4149989,3543
gene_4120103,3542
gene_3366673,3541
gene_4467506,3534
gene_4348083,3531
gene_4615339,3520
gene_3391813,3510
gene_3876300,3510
gene_4079729,3509
gene_4373937,3503
gene_2659887,3495
gene_3420392,3494
gene_1930568,3492
gene_4218945,3490
gene_3835875,3487
gene_4042559,3481
gene_3209099,3477
gene_4253613,3477
gene_4384708,3473
gene_3574475,3471
gene_4216341,3468
gene_4622483,3468
gene_4321182,3467
gene_4261888,3461
gene_3940249,3460
gene_4456613,3457
gene_4611670,3456
gene_4364448,3455
gene_4080173,3450
gene_4103029,3448
gene_3701333,3444
gene_4121122,3440
gene_4096958,3436
gene_2844581,3435
gene_3016197,3432
gene_3905031,3428
gene_3229695,3425
gene_4279060,3422
gene_4149240,3411
gene_3208633,3411
gene_3508106,3409
gene_4321820,3405
gene_2684157,3404
gene_3830070,3403
gene_3768885,3401
gene_2651766,3394
gene_3335066,3393
gene_3955079,3393
gene_4274409,3391
gene_3151781,3390
gene_4203263,3388
gene_3532645,3386
gene_4215772,3384
gene_4372256,3380
gene_4334077,3380
gene_4542087,3379
gene_3653030,3377
gene_3533367,3377
gene_4411418,3377
gene_3947896,3375
gene_4622913,3374
gene_4545438,3373
gene_3548732,3358
gene_4180576,3353
gene_4238894,3348
gene_3752730,3346
gene_3738895,3340
gene_3497191,3338
gene_2398525,3337
gene_4556934,3327
gene_3987824,3320
gene_4324715,3311
gene_4040375,3311
gene_4179816,3309
gene_3045510,3308
gene_4389477,3307
gene_3558226,3299
gene_3576356,3296
gene_4128625,3292
gene_4467507,3287
gene_2791557,3285
gene_3867072,3280
gene_3902595,3280
gene_3457766,3280
gene_3552768,3277
gene_4101748,3272
gene_4471081,3271
gene_3846320,3269
gene_4058617,3267
gene_3470506,3267
gene_4412464,3256
gene_3762862,3248
gene_3958335,3248
gene_2807308,3244
gene_4218354,3242
gene_3839277,3237
gene_3411395,3236
gene_4097100,3233
gene_4503527,3227
gene_3410007,3224
gene_4222117,3219
gene_4529699,3215
gene_4325086,3214
gene_4442437,3205
gene_3432626,3202
gene_3594870,3200
gene_4370922,3200
gene_4298553,3194
gene_4616818,3188
gene_3821375,3186
gene_3768640,3177
gene_3994098,3176
gene_4021415,3172
gene_3570235,3171
gene_4013034,3171
gene_3422190,3168
gene_4443788,3166
gene_3730822,3166
gene_2865884,3164
gene_3812130,3158
gene_4369416,3156
gene_3468031,3152
gene_2517279,3141
gene_4500980,3137
gene_4273368,3137
gene_2988423,3136
gene_4003123,3134
gene_4137143,3133
gene_4131553,3132
gene_3245032,3130
gene_3517306,3118
gene_3360103,3115
