gene,postFMT_1_duodenum
gene_2736174,15992
gene_4229339,15972
gene_4014806,15971
gene_3203715,15911
DSM22607_4_GL0340256,15867
gene_3569353,15854
gene_4135100,15785
gene_4263639,15770
gene_3581102,15746
gene_3323454,15726
gene_2891508,15701
gene_4437273,15699
gene_4420533,15694
gene_4604030,15689
gene_3546772,15679
gene_2609743,15678
gene_4041724,15580
gene_4595680,15570
gene_3149382,15569
gene_4258902,15558
gene_3875564,15531
gene_4566288,15523
gene_3608730,15512
gene_4299436,15489
gene_4346442,15477
gene_4320139,15446
gene_3911867,15446
gene_3576352,15409
gene_3477059,15384
gene_4484121,15368
gene_3873906,15345
gene_4043077,15340
gene_3600794,15317
gene_3596412,15266
gene_3273310,15256
gene_4406968,15232
gene_4540577,15220
gene_3176526,15213
gene_3534785,15212
gene_4410467,15185
gene_3615601,15149
gene_4489862,15147
gene_3209101,15142
gene_4546409,15133
gene_3295111,15124
gene_4633058,15114
gene_4375746,15111
gene_4317122,15110
gene_4106559,15085
gene_3470073,15062
gene_4406399,14952
gene_3331940,14878
gene_4467399,14848
gene_4044965,14783
gene_4500981,14768
gene_4044582,14754
gene_3395763,14743
gene_4542301,14743
gene_3335067,14739
gene_4036515,14729
gene_4147144,14705
gene_4612043,14705
gene_4474926,14693
gene_3891396,14673
gene_4032535,14656
gene_4529292,14653
gene_4315453,14648
gene_3646316,14648
gene_3032996,14637
gene_4222118,14634
gene_3016781,14606
gene_3008714,14589
gene_1958653,14555
gene_3968139,14543
gene_4453499,14528
gene_2657735,14525
gene_4383761,14480
gene_3474526,14441
gene_4443786,14365
gene_3742710,14356
gene_3913077,14355
gene_2736075,14344
gene_3991949,14336
gene_3154619,14330
gene_4257777,14323
gene_4118449,14286
gene_3128801,14281
gene_3277055,14278
gene_4604285,14249
gene_3940284,14246
gene_4403355,14240
gene_4520153,14235
gene_3876445,14219
gene_4279215,14175
gene_3967408,14153
gene_4492961,14143
gene_3992196,14143
gene_3536024,14128
gene_3314169,14123
gene_3511474,14121
gene_2839179,14081
gene_4634916,14058
gene_4534171,14001
gene_3473110,13992
gene_1924892,13958
gene_3701764,13912
gene_4566746,13903
gene_4265317,13900
gene_4160447,13889
gene_4209155,13865
gene_3977405,13859
gene_2905495,13851
gene_2476697,13850
gene_3746756,13834
gene_3758893,13805
gene_3924911,13786
gene_4573738,13786
gene_3867818,13776
gene_3414630,13731
gene_4070299,13728
gene_4544228,13721
gene_3673122,13664
gene_4434951,13660
gene_2986687,13613
gene_4436151,13596
gene_3414790,13592
gene_3314902,13591
gene_4108300,13588
gene_4394211,13582
gene_4222121,13537
gene_3992708,13493
gene_3213901,13493
gene_3391546,13491
gene_4606530,13464
gene_3471875,13442
gene_3724218,13383
gene_4216838,13378
gene_3767204,13368
gene_3087960,13337
gene_4220068,13335
gene_4420132,13311
gene_3780972,13305
gene_4152129,13295
gene_4383681,13282
gene_4502224,13239
gene_4040747,13229
gene_3555335,13229
gene_4169428,13165
gene_3700930,13159
gene_2688324,13149
gene_3918469,13131
gene_3638660,13119
gene_3656089,13072
gene_4474935,13065
gene_2588043,13056
gene_2596772,13044
gene_3241815,13032
gene_3587112,13000
gene_4422374,12964
gene_2902355,12962
gene_3930336,12944
gene_3230397,12942
gene_4065008,12931
gene_3896904,12914
gene_3675602,12892
gene_3589527,12884
gene_3433147,12876
gene_3247777,12865
gene_3793510,12860
gene_4250014,12842
gene_4433565,12836
gene_3412541,12815
gene_4629454,12787
gene_4329657,12786
gene_3969514,12783
gene_2489998,12781
gene_3878529,12749
gene_3572156,12746
gene_4626142,12744
gene_2855783,12739
gene_3762565,12734
gene_4517282,12721
gene_4095929,12707
gene_3929361,12702
gene_3651666,12649
gene_4591505,12649
gene_4485091,12648
gene_4616863,12643
gene_3343755,12629
gene_4353641,12622
gene_3978143,12557
gene_3573521,12551
gene_4090523,12521
gene_4557870,12491
gene_3049061,12491
gene_4580872,12466
gene_3998040,12459
gene_3970794,12443
gene_4085699,12441
gene_2507054,12407
gene_4088307,12404
gene_4419666,12401
gene_4603222,12392
gene_4483277,12369
gene_4050456,12338
gene_3159664,12335
gene_2115899,12329
gene_3352067,12287
gene_3361261,12271
gene_4157882,12230
gene_3684198,12218
gene_4485092,12175
gene_2658890,12169
gene_4009535,12168
gene_3935885,12157
gene_4509529,12149
gene_3880524,12131
gene_4172081,12131
gene_1796288,12130
gene_3729740,12115
gene_1873664,12043
gene_4019895,12040
gene_3902442,12033
gene_3544564,12013
gene_2677191,12013
gene_4513576,12008
gene_3685730,11995
gene_3545078,11960
gene_3986306,11958
gene_3635121,11945
gene_4458882,11925
gene_4001575,11820
gene_4310092,11819
gene_3996218,11795
gene_4067681,11764
gene_3217843,11754
gene_3823488,11744
gene_4426836,11725
gene_4252529,11694
gene_3656140,11678
gene_3870295,11642
gene_3419734,11598
gene_4497719,11565
gene_3178395,11557
gene_4146198,11552
gene_3986654,11536
gene_3598423,11519
gene_4036360,11489
gene_4151035,11443
gene_3831705,11435
gene_4625580,11420
gene_4158416,11406
gene_3544107,11394
gene_3259552,11383
gene_3789039,11382
gene_3885384,11369
gene_3782836,11359
gene_4358652,11359
gene_4249474,11357
gene_3302001,11307
gene_4183762,11306
gene_3452368,11289
gene_3892935,11283
gene_3986867,11266
gene_4395000,11243
gene_2382596,11227
gene_3824923,11225
gene_4258310,11224
gene_3913539,11192
gene_3557530,11167
gene_3720711,11159
gene_4615338,11140
gene_3110449,11117
gene_3217844,11095
gene_4241412,11090
gene_4021958,11050
gene_4471536,11005
gene_4096662,11004
gene_3894563,11004
gene_4540214,11001
gene_4304251,10997
gene_4601967,10979
gene_3611881,10974
gene_3221436,10935
gene_4088308,10929
gene_3617341,10922
gene_4540508,10893
gene_3470408,10881
gene_3247778,10878
gene_4612983,10860
gene_3256291,10859
gene_4466754,10858
gene_4160203,10844
gene_1943946,10843
gene_4139158,10821
gene_3980224,10819
gene_4009128,10791
gene_4213680,10763
gene_4609966,10757
gene_3393630,10751
gene_4609872,10737
gene_4214772,10721
gene_4628276,10715
gene_4409338,10702
gene_4568437,10699
gene_3913538,10661
gene_4317560,10655
gene_2982674,10651
gene_3584032,10633
gene_4632783,10608
gene_3339741,10600
gene_3501541,10589
gene_3781212,10580
gene_4059909,10574
gene_4465933,10552
gene_4089409,10548
gene_4445564,10534
gene_2794975,10534
gene_3385642,10529
gene_4073625,10508
gene_2347056,10481
gene_3249762,10451
gene_4523717,10422
gene_3675601,10400
gene_3649966,10389
gene_4130003,10383
gene_4217315,10378
gene_4086729,10366
gene_3576986,10364
gene_4513875,10338
gene_2583973,10308
gene_4542711,10298
gene_3878528,10261
gene_4087327,10261
gene_2855784,10160
gene_4290880,10151
gene_3461831,10149
gene_3520790,10146
gene_3616270,10132
gene_3317329,10110
gene_3000862,10103
gene_2876811,10100
gene_4624028,10096
gene_2256624,10094
gene_3387999,10090
gene_4562190,10078
gene_4348081,10071
gene_4467509,10065
gene_3521261,10049
gene_4304252,10036
gene_4096958,10026
gene_4483988,10001
gene_4051738,9993
gene_3211338,9991
gene_3868655,9974
gene_4346760,9970
gene_4497716,9969
gene_4416358,9960
gene_4079729,9952
gene_4382686,9940
gene_4596036,9937
gene_3408849,9928
gene_4489830,9913
gene_4137251,9911
gene_3020502,9887
gene_3359669,9883
gene_4309799,9880
gene_4452723,9875
gene_3913946,9874
gene_3558225,9862
gene_3537520,9834
gene_3911803,9819
gene_2398524,9811
gene_4123435,9795
gene_4419114,9785
gene_3784095,9769
gene_3016197,9717
gene_4367107,9714
gene_4153792,9686
gene_3740383,9685
gene_4494409,9676
gene_3716832,9661
gene_3144828,9650
gene_4499699,9642
gene_3905031,9638
gene_3443561,9610
gene_4548236,9592
gene_4003577,9554
gene_4593702,9530
gene_4231946,9528
gene_2788973,9500
gene_3477282,9456
gene_4157349,9448
gene_4023847,9439
gene_4153791,9433
gene_2398525,9431
gene_3009815,9376
gene_4179817,9373
gene_2892854,9362
gene_3910325,9356
gene_4492526,9344
gene_4611458,9313
gene_3825579,9295
gene_3945907,9285
gene_4387186,9282
gene_3782941,9253
gene_3269065,9251
gene_4410001,9243
gene_4347666,9226
gene_4392938,9205
gene_4630560,9196
gene_2481200,9192
gene_3740385,9176
gene_4435122,9152
gene_4577249,9141
gene_3886870,9110
gene_3971172,9085
gene_4448664,9084
gene_4299283,9038
gene_3845096,9009
gene_4006072,9006
gene_4200727,8988
gene_2195471,8986
gene_3583194,8968
gene_3736960,8967
gene_3789038,8948
gene_4609967,8948
gene_4034273,8932
gene_3594870,8909
gene_4308400,8904
gene_3431941,8887
gene_3300666,8869
gene_4503882,8853
gene_2560333,8850
gene_4016255,8836
gene_3170172,8832
gene_3986267,8829
gene_4451134,8821
gene_3992068,8814
gene_4225054,8812
gene_4330947,8807
gene_3835875,8798
gene_4280827,8788
gene_2907312,8781
gene_4168454,8755
gene_4089602,8735
gene_3388185,8731
gene_2027438,8726
gene_4330948,8705
gene_4504041,8689
gene_4253613,8675
gene_3016196,8659
gene_4107239,8651
gene_4483276,8651
gene_3457766,8651
gene_4463221,8649
gene_4218946,8644
gene_3962232,8639
gene_2525169,8633
gene_3979507,8631
gene_4003123,8614
gene_4116340,8610
gene_3098645,8597
gene_3902595,8592
gene_2775055,8584
gene_3420392,8570
gene_4474117,8562
gene_2947255,8525
gene_3873057,8521
gene_3818620,8516
gene_4598259,8515
gene_4321820,8503
gene_3208633,8484
gene_3366673,8446
gene_4485093,8443
gene_4282880,8426
gene_4120103,8425
gene_3738895,8424
gene_3209099,8421
gene_4265295,8413
gene_3866491,8405
gene_2400855,8396
gene_3485290,8388
gene_3244653,8380
gene_4117699,8322
gene_3209751,8321
gene_3804073,8314
gene_4058617,8297
gene_4147143,8289
gene_3811264,8285
gene_3805266,8257
gene_4412464,8253
gene_2847653,8245
gene_4586186,8230
gene_4279060,8225
gene_4322121,8221
gene_3996528,8219
gene_3312054,8206
gene_4324715,8206
gene_4239190,8204
gene_3250146,8175
gene_3411395,8166
gene_3335066,8159
gene_3985860,8157
gene_4517630,8137
gene_3252853,8124
gene_4516147,8114
gene_3878289,8101
gene_3533367,8097
gene_4055708,8094
gene_4182919,8064
gene_4363576,8051
gene_3730822,8043
gene_3752730,8027
gene_4546130,8025
gene_4080173,7996
gene_2974536,7995
gene_2836625,7977
gene_4218945,7972
gene_3846320,7971
gene_4622913,7968
gene_3470506,7962
gene_4105483,7952
gene_3887703,7943
gene_3574475,7941
gene_3193677,7923
gene_3649676,7916
gene_3410007,7916
gene_4495266,7916
gene_4089261,7912
gene_4364448,7912
gene_2651766,7910
gene_4215772,7909
gene_3790399,7904
gene_2684157,7899
gene_4030929,7894
gene_4018401,7885
gene_4321182,7876
gene_4513989,7859
gene_4238894,7850
gene_2687372,7842
gene_4373937,7838
gene_3958335,7833
gene_4529699,7807
gene_4013034,7801
gene_4101748,7799
gene_2791557,7791
gene_4467507,7789
gene_4622483,7761
gene_4430403,7757
gene_4348083,7750
gene_4452467,7747
gene_4378040,7742
gene_2794778,7728
gene_4389477,7714
gene_3314903,7697
gene_4222117,7651
gene_3497191,7648
gene_3391813,7646
gene_4216341,7646
gene_3340960,7645
gene_3045510,7622
gene_3947896,7621
gene_4153442,7615
gene_4088309,7611
gene_3535619,7590
gene_4246894,7588
gene_3939574,7581
gene_3812130,7557
gene_4306960,7550
gene_4157725,7538
gene_3552768,7533
gene_4128625,7530
gene_4511433,7528
gene_4325086,7522
gene_4615339,7504
gene_2938602,7492
gene_3928646,7485
gene_4545438,7467
gene_4270176,7467
gene_3245032,7457
gene_4280128,7455
gene_3508106,7446
gene_3611523,7446
gene_3229695,7441
gene_3360103,7436
gene_4073708,7430
gene_4500980,7429
gene_4096066,7422
gene_4159504,7420
gene_4174320,7418
gene_4080231,7413
gene_4334388,7412
gene_4434871,7409
gene_4503527,7405
gene_4321906,7404
gene_4140213,7401
gene_3659756,7400
gene_3483964,7397
gene_3701333,7393
gene_3942197,7388
gene_3267496,7386
gene_4099366,7379
gene_3876300,7377
gene_4536110,7371
gene_3021138,7362
gene_3558226,7351
gene_3653030,7349
gene_4411418,7339
gene_3994098,7322
gene_4320137,7314
gene_4442437,7313
gene_3422190,7292
gene_4042559,7242
gene_3672159,7239
gene_4179816,7234
gene_3432626,7225
gene_4155791,7210
gene_2658003,7195
gene_2659887,7188
gene_4372256,7187
gene_3955079,7183
gene_3768885,7180
gene_4203263,7176
gene_3405831,7173
gene_4477387,7153
gene_4443788,7130
gene_3517306,7126
gene_4505499,7115
gene_2517279,7105
gene_4426395,7104
gene_4527917,7084
gene_3637357,7079
gene_3762862,7078
gene_3158796,7076
gene_4244866,7057
gene_3525804,7050
gene_3766364,7045
gene_3755259,7045
gene_3656090,7032
gene_3840599,7032
gene_3524792,7031
gene_3293038,7026
gene_2531463,7014
gene_3271895,7011
gene_3524799,7010
gene_3979508,7006
gene_3377577,6998
gene_4018213,6975
gene_3701217,6968
gene_4413039,6961
gene_3930784,6932
gene_3293886,6920
gene_3396364,6909
gene_3852974,6900
gene_3736800,6889
gene_3684338,6872
gene_4269533,6872
gene_3963734,6866
gene_4218354,6843
gene_3940249,6838
gene_2777823,6820
gene_4513990,6819
gene_3700585,6799
gene_4103029,6796
gene_4149989,6780
gene_4637268,6755
gene_4385476,6754
gene_3548732,6750
gene_3723278,6728
gene_4471081,6714
gene_4467506,6712
gene_4255344,6712
gene_3053565,6694
gene_4618044,6661
gene_4099942,6655
gene_3070147,6639
gene_3238698,6634
gene_4290563,6629
gene_3917252,6622
gene_4412666,6614
gene_3979470,6604
gene_3731283,6582
gene_3256987,6582
gene_3483168,6577
gene_3944013,6566
gene_4542087,6566
gene_3768640,6563
gene_4452507,6560
gene_4105546,6554
gene_3675437,6552
gene_3896782,6552
gene_3052508,6548
gene_4563513,6546
gene_4528196,6535
gene_4236880,6520
gene_3830681,6509
gene_3570114,6486
gene_2844581,6470
gene_4578517,6469
gene_4561586,6457
gene_3532645,6441
gene_4097100,6437
gene_4128623,6436
gene_4351361,6424
gene_1228123,6416
gene_4210246,6409
gene_4121122,6392
gene_4298553,6392
gene_3987824,6388
gene_3241222,6367
gene_4616818,6358
gene_4384708,6356
gene_4543219,6337
gene_4203262,6336
gene_3825342,6324
gene_4612385,6293
gene_3878339,6279
gene_4417977,6257
gene_2726972,6256
gene_3708805,6252
gene_4631409,6246
gene_4108746,6246
gene_2942453,6231
gene_4064682,6221
gene_2828118,6205
gene_2988423,6204
gene_2975699,6200
gene_4110617,6183
gene_4258089,6149
gene_2950539,6148
gene_3331026,6147
gene_1930568,6137
gene_2762206,6132
gene_3151781,6129
gene_3606768,6120
gene_4456613,6118
gene_4611670,6116
gene_3747117,6109
gene_4149240,6103
gene_4261888,6092
gene_4346855,6067
gene_3183669,6050
gene_4466074,6045
gene_4334077,6031
gene_4334389,6018
gene_3624994,6014
gene_3968138,6011
gene_4131553,6009
gene_4274409,6005
gene_3385050,5999
gene_3830070,5995
gene_3788353,5992
gene_4109179,5988
gene_3447360,5986
gene_2444072,5984
gene_4529695,5982
gene_3743822,5973
gene_4180576,5970
gene_3576356,5964
gene_3477439,5959
gene_4040375,5946
gene_3240042,5944
gene_3902141,5918
gene_3237970,5898
gene_4566159,5881
gene_2658889,5871
gene_4114702,5865
gene_4308971,5857
gene_4228672,5856
gene_4224908,5856
gene_3030514,5848
gene_3688415,5847
gene_4268601,5845
gene_3546743,5844
gene_2865884,5842
gene_4556934,5839
gene_2862090,5837
gene_4488023,5835
gene_4519327,5817
gene_2907468,5811
gene_4353436,5810
gene_3566700,5808
gene_3839277,5805
gene_2451765,5789
gene_2891827,5786
gene_4037308,5773
gene_3017876,5769
gene_4385236,5768
gene_4242693,5766
gene_2345741,5753
gene_3930782,5743
gene_4327639,5731
gene_3867072,5731
gene_4248567,5718
gene_4401953,5709
gene_3209100,5707
gene_2738377,5707
gene_3225670,5706
gene_3363935,5692
gene_2807308,5689
gene_4146844,5686
gene_3570235,5683
gene_3431942,5675
gene_3680054,5673
gene_4370922,5671
gene_4527576,5664
gene_2668423,5662
gene_4069655,5655
gene_2548133,5650
gene_3900615,5648
gene_3371393,5647
gene_4369416,5642
gene_4528749,5642
gene_2155406,5624
gene_4304471,5601
gene_4449542,5601
gene_4021415,5600
gene_3821375,5598
gene_3761497,5571
gene_3622006,5560
gene_4273368,5559
gene_4161604,5554
gene_3835586,5544
gene_3530376,5542
gene_1797084,5528
gene_4137143,5526
gene_4405189,5524
gene_3356152,5523
gene_4480420,5521
gene_4573431,5506
gene_3772264,5504
gene_3539774,5498
gene_3763409,5496
gene_4623429,5492
gene_3468031,5479
gene_4492869,5478
gene_2945924,5463
gene_3619597,5441
gene_3148548,5439
gene_3905500,5437
gene_3365398,5432
gene_4442343,5418
gene_4265316,5409
gene_4198064,5408
gene_4252705,5403
gene_4356249,5402
gene_4475386,5402
gene_4303071,5400
gene_3970211,5389
gene_3853186,5367
gene_3367050,5359
gene_4059907,5357
gene_4246071,5355
gene_4435123,5342
gene_3727693,5339
gene_3896186,5336
gene_4337085,5335
gene_4140834,5318
gene_4574726,5315
gene_2545589,5315
gene_2889990,5308
gene_4039330,5298
gene_4405089,5290
gene_4382972,5271
gene_3839567,5261
gene_4438282,5256
gene_3840600,5253
gene_2242713,5253
gene_4605923,5250
gene_4021954,5243
gene_2748605,5236
gene_3203713,5231
gene_4237576,5221
gene_4107753,5196
gene_4007919,5195
gene_4021955,5189
gene_3699416,5185
gene_3748570,5185
gene_4062857,5182
gene_3487708,5161
gene_4254653,5152
gene_4609410,5152
gene_3655250,5138
gene_4635507,5123
gene_4343613,5111
gene_3166850,5104
gene_3688249,5100
gene_3545699,5092
gene_3308717,5087
gene_3920429,5082
gene_3603345,5081
gene_3319054,5079
gene_3889288,5072
gene_4421702,5050
gene_4564532,5031
gene_4408105,5007
gene_3664881,5003
gene_4207199,4994
gene_4239563,4994
gene_3629582,4993
gene_3794014,4993
gene_3503605,4990
gene_3784734,4990
gene_3752113,4983
gene_3950111,4980
gene_3943020,4976
gene_2197877,4939
gene_4293903,4926
gene_2862595,4909
gene_3178518,4908
gene_3801155,4906
gene_2598443,4900
gene_4566738,4890
gene_3877458,4878
gene_3864697,4869
gene_4502189,4849
gene_3407586,4834
gene_2244609,4833
gene_4560520,4828
gene_3008563,4825
gene_4066797,4808
gene_3395345,4794
gene_4286467,4789
gene_4082320,4786
gene_4606035,4785
gene_3138143,4784
gene_4214791,4776
gene_2671553,4770
gene_4559733,4768
gene_4317729,4765
gene_2671473,4760
gene_4624815,4759
gene_4288577,4757
gene_2688259,4746
gene_3748625,4746
gene_2947299,4742
gene_3939997,4732
gene_2436565,4727
gene_3515995,4710
gene_2360609,4703
gene_3568137,4700
gene_4445774,4694
gene_3561552,4672
gene_4093542,4671
gene_3147418,4665
gene_3681740,4665
gene_4251654,4665
gene_4138552,4664
gene_4156632,4663
gene_4147670,4662
gene_2226190,4649
gene_4239737,4646
gene_4512224,4643
gene_4405191,4642
gene_3224342,4637
gene_4181468,4631
gene_3553954,4631
gene_4091043,4630
gene_3203079,4624
gene_4117233,4617
gene_4267891,4614
gene_3591813,4608
gene_4070916,4608
gene_4483122,4604
gene_2348583,4594
gene_4131555,4594
gene_3946214,4581
gene_4460953,4565
gene_3880134,4542
gene_4473652,4539
gene_4287837,4534
gene_3894131,4533
gene_3694244,4525
gene_4131554,4524
gene_4475245,4521
gene_3910328,4513
gene_2497116,4497
gene_3768162,4485
gene_3769682,4485
gene_4094560,4484
gene_3321131,4468
gene_3723759,4464
gene_3896976,4463
gene_4544227,4456
gene_4358011,4452
gene_4363402,4452
gene_4438084,4442
gene_3754341,4439
gene_2815513,4428
gene_3776251,4416
gene_3903189,4413
gene_2843767,4394
gene_4339927,4387
gene_4316716,4386
gene_4449784,4373
gene_4584189,4372
gene_4470406,4368
gene_4561712,4366
gene_4523371,4357
gene_3491307,4355
gene_4007592,4342
gene_4039328,4339
gene_2479644,4321
gene_3912717,4316
gene_3061537,4310
gene_2264954,4309
gene_2745606,4307
gene_3416091,4305
gene_4152213,4300
gene_3965834,4287
gene_4095889,4277
gene_4556371,4273
gene_4546408,4268
gene_4602238,4261
gene_4399332,4256
gene_3015454,4250
gene_4452368,4233
gene_3426084,4227
gene_2414908,4217
gene_4259368,4188
gene_3020902,4178
gene_3916226,4175
gene_2554634,4158
gene_4032220,4145
gene_2821593,4140
gene_3952118,4138
gene_3847533,4135
gene_4056695,4130
gene_3930693,4117
gene_3791024,4116
gene_4443822,4110
gene_3296140,4098
gene_4409697,4063
gene_4525919,4060
gene_3120991,4048
gene_3205533,4045
gene_3015770,4036
gene_4285981,4024
gene_4124058,4021
gene_4582928,4018
gene_3851480,4016
gene_2615331,4015
gene_3424683,4013
gene_3434320,3991
gene_4063114,3985
gene_3859151,3979
gene_3098774,3977
gene_4347975,3976
gene_4369391,3966
gene_4187980,3964
gene_3942185,3962
gene_4034762,3958
gene_3386808,3958
gene_3791658,3946
gene_4192376,3936
gene_3319848,3934
gene_4350987,3917
gene_4235718,3909
gene_3371392,3904
gene_3735792,3894
gene_2748457,3893
gene_2738378,3892
gene_3703611,3887
gene_4253786,3881
gene_3534883,3881
gene_3582062,3880
gene_2612009,3876
gene_4274460,3874
gene_4572013,3872
gene_4095762,3865
gene_4103276,3864
gene_4446473,3853
gene_3706445,3838
gene_4059760,3837
4-4_GL0084790,3821
gene_3501642,3821
gene_3769614,3811
gene_3987263,3809
gene_2300063,3804
gene_3920705,3799
gene_4186093,3798
gene_4022371,3796
gene_2864658,3792
gene_4227884,3790
gene_2207959,3790
gene_4238847,3781
gene_3985927,3770
gene_3122280,3762
gene_3697920,3739
gene_2839877,3735
gene_4638289,3735
gene_4207445,3730
gene_2974748,3730
gene_4245387,3727
gene_4497927,3724
gene_3394078,3724
gene_3308769,3722
gene_3979571,3710
gene_4620662,3706
DSM22607_4_GL0243623,3701
gene_4099202,3698
gene_4015697,3694
gene_3171902,3681
gene_2836867,3678
gene_3788613,3674
gene_3661365,3673
gene_3465852,3672
gene_4414549,3669
gene_3442602,3660
gene_3737321,3658
gene_3087064,3651
gene_2731442,3642
gene_3742308,3637
gene_3819729,3629
gene_3892505,3625
gene_4318733,3617
gene_2958888,3609
gene_4306017,3607
gene_3026649,3605
gene_3163159,3604
gene_4520504,3600
gene_3729402,3596
gene_4437344,3594
gene_4613965,3584
gene_3169699,3571
gene_4548238,3571
gene_4549415,3568
gene_4389605,3565
gene_3874223,3556
gene_3647451,3555
gene_2751765,3553
gene_4019258,3552
gene_2936220,3551
gene_3815982,3541
gene_4536800,3527
gene_4328904,3525
gene_3910851,3520
gene_3222669,3518
