gene,postFMT_4_duodenum
gene_4413039,12445
gene_3656090,12428
gene_1228123,12416
gene_4218354,12415
gene_4298553,12415
gene_3940249,12398
gene_4140213,12348
gene_3447360,12309
gene_3930784,12295
gene_2762206,12288
gene_2844581,12279
gene_4128623,12254
gene_3684338,12237
gene_2891827,12154
gene_3532645,12133
gene_4258089,12100
gene_4037308,12091
gene_4269533,12089
gene_3768640,12085
gene_3830681,12075
gene_3293886,12038
gene_4542087,12018
gene_3979470,12012
gene_3852974,12001
gene_4149989,11983
gene_4452507,11969
gene_3548732,11961
gene_4529695,11908
gene_4467506,11903
gene_4528749,11897
gene_3700585,11884
gene_2777823,11881
gene_4471081,11844
gene_4290563,11842
gene_4103029,11806
gene_3070147,11749
gene_3183669,11724
gene_3900615,11718
gene_3944013,11711
gene_3896782,11699
gene_3917252,11695
gene_4563513,11685
gene_3256987,11673
gene_4108746,11661
gene_4543219,11655
gene_4255344,11643
gene_4064682,11610
gene_3483168,11590
gene_4612385,11568
gene_2975699,11550
gene_3241222,11541
gene_4561586,11534
gene_4618044,11530
gene_3987824,11518
gene_4351361,11505
gene_3546743,11500
gene_3878339,11480
gene_2828118,11479
gene_4616818,11446
gene_4417977,11423
gene_4412666,11406
gene_3788353,11404
gene_3731283,11385
gene_2950539,11382
gene_4097100,11382
gene_2658889,11368
gene_4527576,11361
gene_3240042,11346
gene_2988423,11333
gene_2942453,11330
gene_2451765,11325
gene_3570114,11320
gene_3052508,11318
gene_2889990,11312
gene_3367050,11308
gene_3675437,11295
gene_4308971,11282
gene_4110617,11279
gene_2862090,11261
gene_4121122,11198
gene_3708805,11188
gene_4334389,11178
gene_4573431,11177
gene_4384708,11152
gene_3747117,11108
gene_3606768,11085
gene_3835586,11034
gene_3680054,11024
gene_3356152,10991
gene_4631409,10940
gene_4131553,10930
gene_2155406,10911
gene_4566159,10901
gene_4248567,10846
gene_4228672,10834
gene_3237970,10811
gene_4007919,10802
gene_3331026,10802
gene_4224908,10793
gene_4109179,10790
gene_3477439,10768
gene_4346855,10735
gene_3566700,10713
gene_3968138,10705
gene_3830070,10704
gene_4337085,10697
gene_3902141,10694
gene_1930568,10685
gene_3576356,10681
gene_3017876,10673
gene_4382972,10662
gene_4466074,10643
gene_3385050,10642
gene_2444072,10628
gene_4261888,10622
gene_4456613,10615
gene_4611670,10612
gene_3151781,10600
gene_3487708,10599
gene_3371393,10588
gene_3688249,10587
gene_3743822,10583
gene_3603345,10581
gene_3688415,10580
gene_2242713,10567
gene_3319054,10530
gene_2548133,10522
gene_4492869,10480
gene_2726972,10470
gene_4519327,10457
gene_4268601,10444
gene_4242693,10435
gene_3801155,10424
gene_3030514,10407
gene_4149240,10406
gene_4237576,10378
gene_3209100,10373
gene_2907468,10366
gene_4353436,10354
gene_3365398,10352
gene_4114702,10349
gene_3853186,10343
gene_4274409,10341
gene_2345741,10311
gene_4334077,10286
gene_3930782,10282
gene_2865884,10280
gene_4401953,10264
gene_4488023,10259
gene_3530376,10254
gene_4198064,10228
gene_3840600,10214
gene_2738377,10207
gene_4180576,10192
gene_4327639,10190
gene_4040375,10183
gene_3431942,10176
gene_1797084,10169
gene_4146844,10155
gene_4039330,10153
gene_3748625,10152
gene_3839277,10129
gene_4635507,10128
gene_4556934,10102
gene_3570235,10093
gene_4161604,10075
gene_3943020,10056
gene_3363935,10046
gene_4385236,10039
gene_2668423,10030
gene_4370922,10012
gene_4449542,10011
gene_4304471,10009
gene_4442343,9992
gene_4405189,9943
gene_4252705,9920
gene_3622006,9918
gene_3864697,9895
gene_3772264,9877
gene_2807308,9872
gene_4069655,9871
gene_3867072,9869
gene_4070916,9854
gene_4480420,9841
gene_4369416,9797
gene_4623429,9785
gene_4475386,9777
gene_4356249,9772
gene_3752113,9753
gene_3148548,9752
gene_3920429,9750
gene_2945924,9745
gene_3761497,9735
gene_3664881,9717
gene_3839567,9698
gene_4246071,9689
gene_4273368,9664
gene_3821375,9652
gene_4265316,9622
gene_4021415,9619
gene_3166850,9594
gene_4137143,9573
gene_4566738,9568
gene_2244609,9564
gene_3539774,9557
gene_3308717,9547
gene_3970211,9510
gene_3468031,9509
gene_4605923,9490
gene_3225670,9485
gene_2671553,9483
gene_4062857,9469
gene_3905500,9442
gene_4214791,9423
gene_2226190,9420
gene_4435123,9414
gene_4438282,9412
gene_2598443,9401
gene_3768162,9396
gene_4343613,9378
gene_3763409,9376
gene_4502189,9363
gene_3619597,9359
gene_4405089,9315
gene_4021955,9311
gene_4445774,9295
gene_4303071,9279
gene_3224342,9261
gene_3748570,9255
gene_2545589,9251
gene_3503605,9251
gene_4606035,9236
gene_3896186,9231
gene_3889288,9229
gene_3008563,9229
gene_3203713,9219
gene_3939997,9213
gene_4288577,9212
gene_4574726,9198
gene_2264954,9180
gene_2360609,9157
gene_3727693,9154
gene_4140834,9148
gene_2348583,9148
gene_4059907,9146
gene_3946214,9143
gene_4564532,9129
gene_4405191,9106
gene_4021954,9093
gene_2748605,9085
gene_4082320,9076
gene_4609410,9030
gene_4421702,9027
gene_3681740,9017
gene_3655250,9014
gene_3769682,9012
gene_4438084,9010
gene_3784734,9005
gene_4107753,8995
gene_4408105,8971
gene_3723759,8962
gene_2479644,8954
gene_2862595,8943
gene_3699416,8922
gene_3950111,8918
gene_4254653,8896
gene_2947299,8888
gene_4131555,8882
gene_3794014,8865
gene_4293903,8864
gene_3545699,8840
gene_4317729,8810
gene_4363402,8776
gene_4239563,8725
gene_3877458,8708
gene_4181468,8690
gene_4207199,8688
gene_3694244,8676
gene_4007592,8628
gene_2197877,8613
gene_4095889,8600
gene_3178518,8571
gene_4103276,8571
gene_4347975,8482
gene_4138552,8473
gene_3629582,8470
gene_3203079,8461
gene_4559733,8448
gene_3147418,8426
gene_3515995,8411
gene_3568137,8396
gene_4066797,8394
gene_4239737,8370
gene_4339927,8359
gene_4358011,8352
gene_4560520,8345
gene_2671473,8332
gene_4267891,8325
gene_3912717,8323
gene_3407586,8317
gene_4091043,8305
gene_4286467,8303
gene_4483122,8302
gene_2688259,8283
gene_4093542,8276
gene_3591813,8252
gene_3395345,8252
gene_2436565,8219
gene_4056695,8215
gene_4624815,8214
gene_4251654,8209
gene_3138143,8205
gene_2815513,8201
gene_4460953,8189
gene_3561552,8181
gene_3706445,8164
gene_3910328,8163
gene_3896976,8156
gene_4156632,8144
gene_4602238,8133
gene_4039328,8122
gene_4287837,8084
gene_3553954,8067
gene_3894131,8062
gene_2836867,8058
gene_4512224,8029
gene_4094560,8008
gene_4475245,8002
gene_3920705,7942
gene_4473652,7934
gene_4561712,7915
gene_4544227,7907
gene_4316716,7899
gene_2497116,7870
gene_4131554,7862
gene_3903189,7856
gene_3754341,7846
gene_3880134,7840
gene_4525919,7838
gene_3491307,7836
gene_4152213,7818
gene_4117233,7811
gene_3321131,7773
gene_3416091,7772
gene_4470406,7768
gene_2414908,7724
gene_4409697,7708
gene_3965834,7684
gene_3930693,7683
gene_3703611,7665
gene_3916226,7658
gene_4584189,7642
gene_4523371,7631
gene_3776251,7626
gene_3015454,7598
gene_4207445,7563
gene_3120991,7544
gene_2745606,7533
gene_4399332,7511
gene_4449784,7503
gene_2843767,7499
gene_4556371,7498
gene_4147670,7488
gene_3169699,7486
gene_4546408,7481
gene_3952118,7480
gene_3061537,7444
gene_3426084,7443
gene_2974748,7437
gene_4437344,7433
gene_4582928,7423
gene_4638289,7403
gene_2821593,7384
gene_4063114,7383
gene_4019258,7363
gene_4452368,7357
gene_2207959,7330
gene_2958888,7313
gene_3697920,7304
gene_2554634,7297
gene_4032220,7289
gene_4446864,7280
gene_3465852,7277
gene_4227884,7277
gene_3205533,7274
gene_4259368,7270
gene_3534883,7249
gene_3987263,7248
gene_4607190,7232
gene_4517788,7231
gene_2300063,7227
gene_3020902,7205
gene_4414549,7198
gene_4194280,7191
gene_3098774,7180
gene_3015770,7177
gene_3735792,7176
gene_4548238,7174
gene_4318733,7166
gene_4285981,7162
gene_4076446,7155
gene_4443822,7143
gene_3659142,7141
gene_4430789,7134
gene_3319848,7097
gene_4369391,7057
gene_4034762,7050
gene_2615331,7019
4-4_GL0084790,7001
gene_2396716,6998
gene_4471155,6993
gene_4441498,6993
gene_3859151,6991
gene_3851480,6991
gene_3847533,6989
gene_2738378,6980
gene_3434320,6978
gene_2870586,6968
gene_3386808,6965
gene_3577630,6962
gene_4015697,6957
DSM22607_4_GL0243623,6955
gene_3791024,6952
gene_4124058,6946
gene_4187980,6945
gene_4059760,6936
gene_3424683,6923
gene_4253786,6922
gene_4274460,6917
gene_2731442,6909
gene_3122280,6901
gene_4350987,6894
gene_4620662,6884
gene_3296140,6881
gene_4186093,6876
gene_4247181,6867
gene_3222669,6866
gene_3942185,6852
gene_4235718,6842
gene_3308769,6824
gene_3582062,6823
gene_3501642,6822
gene_3892505,6816
gene_3171902,6816
gene_2187964,6811
gene_3394078,6809
gene_3979571,6801
gene_4021342,6800
gene_4446473,6799
gene_2864658,6798
gene_4306017,6797
gene_3371392,6792
gene_2936220,6791
gene_3163159,6791
gene_4192376,6788
gene_2612009,6780
gene_2748457,6767
gene_4095762,6737
gene_3742308,6690
gene_4245387,6679
gene_3769614,6674
gene_3791658,6670
gene_3788613,6658
gene_2891628,6645
gene_4572013,6602
gene_3087064,6588
