,A1-S13,A2-S14,A3-S15,A4-S16,A5-S17,B1-S18,B2-S19,B3-S20,B4-S21,B5-S22,C1-S23,C2-S24,C3-S25,C4-S26,C5-S27,D1-S28,D2-S29,D3-S30,D4-S31,D5-S32,E1-S33,E2-S34,E3-S35,E4-S36,E5-S37,F1-S38,F2-S39,F3-S40,F4-S41,F5-S42,G1-S43,G2-S44,G3-S45,G4-S46,G5-S47,H1-S48,H2-S49,H3-S50,H4-S51,H5-S52
K05877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K05878,0.0,0.0,1.0,0.0,0.0,3.0,37.0,0.0,26.0,0.0,0.0,37.0,6.0,0.0,0.0,0.0,1.0,28.0,14.0,0.0,0.0,0.0,114.0,23.0,1.0,1.0,22.0,1.0,46.0,4.0,0.0,3.0,2.0,16.0,6.0,0.0,24.0,0.0,2.0,15.0
K05879,0.0,0.0,0.0,0.0,1.0,0.0,21.0,0.0,9.0,0.0,0.0,8.0,0.0,4.0,0.0,0.0,7.0,8.0,3.0,0.0,0.0,0.0,21.0,5.0,0.0,0.0,5.0,0.0,12.0,1.0,0.0,0.0,8.0,12.0,3.0,0.0,17.0,0.0,2.0,9.0
K05880,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K05881,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,15.0,0.0,0.0,2.0
K05884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
K05887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K05895,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,25.0,3.0,2.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
K05896,1.0,1.0,0.0,2.0,2.0,1.0,25.0,0.0,28.0,5.0,7.0,96.0,6.0,12.0,8.0,0.0,65.0,37.0,12.0,3.0,0.0,0.0,123.0,11.0,2.0,8.0,68.0,0.0,23.0,4.0,0.0,7.0,4.0,4.0,1.0,0.0,19.0,0.0,27.0,37.0
K05898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0
K05916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K05919,0.0,0.0,0.0,0.0,3.0,0.0,14.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,2.0,16.0,1.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0
K05934,0.0,0.0,0.0,3.0,0.0,5.0,25.0,0.0,2.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,2.0,5.0,11.0,0.0,0.0,0.0,49.0,13.0,2.0,0.0,10.0,0.0,9.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,9.0,0.0,1.0,15.0
K05936,0.0,1.0,0.0,0.0,0.0,3.0,27.0,0.0,10.0,2.0,0.0,8.0,1.0,0.0,0.0,0.0,4.0,6.0,1.0,0.0,0.0,0.0,58.0,6.0,1.0,0.0,23.0,0.0,2.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,3.0,0.0,2.0,6.0
K05937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0,0.0,11.0,0.0,0.0,1.0
K05939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K05942,1.0,7.0,0.0,2.0,0.0,0.0,39.0,0.0,16.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,42.0,12.0,0.0,0.0,26.0,0.0,18.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,3.0,0.0,43.0,54.0
