,postFMTs1scecum_S27,postFMTs1scolon_S28,postFMTs1sduodenum_S24,postFMTs1sileum_S26,postFMTs1sjejunum_S25,postFMTs2scecum_S32,postFMTs2scolon_S33,postFMTs2sduodenum_S29,postFMTs2sileum_S31,postFMTs2sjejunum_S30,postFMTs3scecum_S37,postFMTs3scolon_S38,postFMTs3sduodenum_S34,postFMTs3sileum_S36,postFMTs3sjejunum_S35,postFMTs4scecum_S42,postFMTs4scolon_S43,postFMTs4sduodenum_S39,postFMTs4sileum_S41,postFMTs4sjejunum_S40
K00172,0.0,0.0,0.0,0.0,0.0,39.92315750336383,0.0,0.0,0.0,0.0,0.0,119.42739817381178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00174,0.0,0.0,0.0,0.0,0.0,63.33015943684289,836.3147955795745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.32642479704884,0.0,0.0,0.0,0.0
K00175,0.0,0.0,0.0,0.0,0.0,71.11019691848158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.218097600021,288.02879437740216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00179,0.0,0.0,0.0,0.0,0.0,53.98331566933848,0.0,0.0,0.0,0.0,339.090648862716,161.2986528450205,0.0,0.0,0.0,40.31417643983089,0.0,0.0,0.0,0.0
K00180,246.35681384761799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.2563481682678,112.03427352495676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,492.92601870555666
K00197,0.0,0.0,0.0,0.0,0.0,21.34395955165988,0.0,0.0,0.0,0.0,0.0,957.94819850326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00198,0.0,0.0,0.0,0.0,0.0,24.49974371430594,0.0,0.0,0.0,0.0,41.31132728502453,113.01428185276743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.40671116936387,0.0,0.0,0.0,0.0
