ko_map,gi_location,no_FMT_control,Recipient,Donor,postFMTvsnoFMT,donorVnoFMT,postFMTvdonor
K02071,ileum,0.0809145,0.018157,1.40601625,-2.15587240668003,4.11907119925358,-6.2749436059336
K02241,ileum,0.0144345,0.018157,0.1496685,0.331004717671588,3.37417757664475,-3.04317285897317
K02621,ileum,0.1327895,0.018157,1.46194125,-2.87054331629178,3.46067235710981,-6.33121567340159
K02669,ileum,0.139177,0.018157,1.99054125,-2.93832305778041,3.83816804845041,-6.77649110623082
K02825,ileum,0.0144345,0.018157,1.45493625,0.331004717671588,6.65529099606767,-6.32428627839608
K02887,ileum,1.554117,0.018157,15.73764125,-6.41942545706629,3.34005230195209,-9.75947775901837
K02911,ileum,1.227267,0.018157,13.71206625,-6.07877948844614,3.48192492893072,-9.56070441737685
K02919,ileum,0.0144345,0.018157,0.2342335,0.331004717671588,4.02035438467395,-3.68934966700236
K02950,ileum,1.909375,0.018157,20.4628375,-6.7164308124439,3.42183383167367,-10.1382646441176
K02956,ileum,0.156517,0.018157,6.59709125,-3.10772160574931,5.39743879196178,-8.50516039771109
K03060,ileum,0.102277,0.018157,1.21821625,-2.49388399165137,3.57421659988566,-6.06810059153703
K03118,ileum,0.1310345,0.018157,1.64084125,-2.85134895076946,3.64641705282412,-6.49776600359358
K03269,ileum,0.0144345,0.018157,0.52994625,0.331004717671588,5.19825300149934,-4.86724828382775
K03313,ileum,0.0250995,0.018157,0.80017125,-0.467132772682567,4.99457826380038,-5.46171103648294
K03316,ileum,0.060442,0.018157,0.6496225,-1.73502554719394,3.42597829728355,-5.16100384447749
K03327,ileum,0.0401745,0.018157,0.481903,-1.14575421639214,3.58439080857602,-4.73014502496817
K03346,ileum,0.02055975,0.018157,0.83769125,-0.179296869664876,5.34852397706295,-5.52782084672782
K03518,ileum,0.0144345,0.018157,1.91264125,0.331004717671588,7.04990135104152,-6.71889663336993
K03590,ileum,0.0144345,0.018157,1.55246325,0.331004717671588,6.74889417247349,-6.41788945480191
K03602,ileum,0.1861645,0.018157,2.17784125,-3.35798023197279,3.54824890064836,-6.90622913262114
K03704,ileum,0.0974195,0.018157,4.90671625,-2.42368472638556,5.65440345547907,-8.07808818186463
K03724,ileum,0.133272,0.018157,2.6894195,-2.87577594950124,4.3348491946785,-7.21062514417974
K03733,ileum,0.0528645,0.018157,0.61164875,-1.54177338488832,3.53233225557418,-5.07410564046249
K03781,ileum,0.0144345,0.018157,0.21824525,0.331004717671588,3.91835721494864,-3.58735249727705
K03811,ileum,0.0144345,0.018157,0.40119575,0.331004717671588,4.79671328337945,-4.46570856570786
K03827,ileum,0.0144345,0.018157,0.1828485,0.331004717671588,3.66305575185743,-3.33205103418584
K03839,ileum,0.0144345,0.018157,0.38529575,0.331004717671588,4.7383732327522,-4.40736851508061
K03976,ileum,0.1993645,0.018157,2.37809125,-3.45681078057812,3.57632363088961,-7.03313441146773
K04074,ileum,0.05167075,0.018157,0.83677375,-1.50882197234493,4.01741786452901,-5.52623983687395
K05825,ileum,0.1100945,0.018157,1.84281625,-2.60014464049274,4.06509792185177,-6.66524256234451
K05919,ileum,0.0144345,0.018157,0.2878885,0.331004717671588,4.31791712042305,-3.98691240275146
K05995,ileum,0.0448745,0.018157,1.33726625,-1.30537001198739,4.89724706045017,-6.20261707243755
K06605,ileum,0.0144345,0.018157,3.33091625,0.331004717671588,7.8502541356363,-7.51924941796471
K06895,ileum,0.0144345,0.018157,0.32614125,0.331004717671588,4.49790388346478,-4.16689916579319
K06903,ileum,0.0144345,0.018157,0.5668385,0.331004717671588,5.2953447105653,-4.96433999289371
K07075,ileum,0.0144345,0.018157,0.228606,0.331004717671588,3.9852702293638,-3.65426551169221
K07118,ileum,0.0144345,0.018157,0.4715425,0.331004717671588,5.02979476677724,-4.69879004910565
K07307,ileum,0.1361595,0.018157,2.90331625,-2.90669988695877,4.41433217975452,-7.32103206671329
K07322,ileum,0.0144345,0.018157,0.40796875,0.331004717671588,4.82086560772223,-4.48986089005065
K07467,ileum,0.0288615,0.018157,0.9849125,-0.668620429768066,5.09277737354456,-5.76139780331263
K07480,ileum,0.0144345,0.018157,0.1986835,0.331004717671588,3.78287902686225,-3.45187430919067
K07498,ileum,0.0144345,0.018157,0.2043535,0.331004717671588,3.82347391317038,-3.49246919549879
K07571,ileum,0.0144345,0.018157,0.4248885,0.331004717671588,4.87949125660154,-4.54848653892995
K07735,ileum,0.0144345,0.018157,0.16932325,0.331004717671588,3.55218704550138,-3.22118232782979
K07741,ileum,0.0144345,0.018157,0.3195635,0.331004717671588,4.46850959579621,-4.13750487812462
K07812,ileum,0.0557245,0.018157,1.16267875,-1.61778591439095,4.38299695604263,-6.00078287043359
K08972,ileum,0.119042,0.018157,1.67311625,-2.7128729128081,3.81299511363832,-6.52586802644642
K08981,ileum,0.1384015,0.018157,1.88414125,-2.93026182166075,3.76697564058796,-6.6972374622487
K09014,ileum,0.0144345,0.018157,0.61808375,0.331004717671588,5.42020929603708,-5.08920457836549
K09779,ileum,0.0144345,0.018157,0.5203635,0.331004717671588,5.17192673054661,-4.84092201287503
K09810,ileum,0.0144345,0.018157,0.17728625,0.331004717671588,3.61848760806153,-3.28748289038994
K10716,ileum,0.0383645,0.018157,0.46126375,-1.07924610028673,3.58774806003969,-4.66699416032643
K10974,ileum,0.02579025,0.018157,0.75422225,-0.506299905820811,4.87009204826401,-5.37639195408482
K10979,ileum,0.058552,0.018157,0.83352375,-1.68919259840968,3.83143295142846,-5.52062554983814
K11645,ileum,0.0144345,0.018157,1.14210625,0.331004717671588,6.30603192586541,-5.97502720819382
K11741,ileum,0.0144345,0.018157,0.87949575,0.331004717671588,5.92908356645478,-5.59807884878319
K12472,ileum,0.11277425,0.018157,6.28573,-2.63483993413685,5.80057070668847,-8.43541064082532
K13252,ileum,0.0144345,0.018157,0.37332875,0.331004717671588,4.69285357497925,-4.36184885730766
K13566,ileum,0.0144345,0.018157,0.17723125,0.331004717671588,3.61803996737871,-3.28703524970712
K14534,ileum,0.0377545,0.018157,0.72606375,-1.05612275881835,4.26537570939847,-5.32149846821682
K16329,ileum,0.098242,0.018157,1.7196085,-2.43581407897431,4.12959640521046,-6.56541048418477
K16924,ileum,0.0144345,0.018157,1.62400375,0.331004717671588,6.81389001904967,-6.48288530137808
K18139,ileum,0.0144345,0.018157,0.15156675,0.331004717671588,3.39236025687041,-3.06135553919883
K18979,ileum,0.04346475,0.018157,0.45015875,-1.2593199942998,3.37251611076607,-4.63183610506587
K19167,ileum,0.0144345,0.018157,0.20614425,0.331004717671588,3.83606118086216,-3.50505646319057
K22605,ileum,0.1306645,0.018157,1.84629125,-2.84726947380696,3.82069101787404,-6.667960491681
K23078,ileum,0.0144345,0.018157,0.58197125,0.331004717671588,5.33335484451807,-5.00235012684649
K23148,ileum,0.0144345,0.018157,0.2163835,0.331004717671588,3.9059974531041,-3.57499273543251
K00177,cecum,0.0685635,0.01979875,1.2864995,-1.7920314092075,4.229866328736,-6.0218977379435
