,A1-S13,A2-S14,A3-S15,A4-S16,A5-S17,B1-S18,B2-S19,B3-S20,B4-S21,B5-S22,C1-S23,C2-S24,C3-S25,C4-S26,C5-S27,D1-S28,D2-S29,D3-S30,D4-S31,D5-S32,E1-S33,E2-S34,E3-S35,E4-S36,E5-S37,F1-S38,F2-S39,F3-S40,F4-S41,F5-S42,G1-S43,G2-S44,G3-S45,G4-S46,G5-S47,H1-S48,H2-S49,H3-S50,H4-S51,H5-S52
K04096,211.69290118991168,286.3923960253541,164.5436522269579,74.43779367570549,99.00035392175346,457.6022539328732,185.57834457724178,0.0,228.55412328953716,251.6493611007599,141.23434315380982,400.5204103796309,419.94030474675606,193.79457216873266,208.13131727651086,0.0,283.6159742963598,354.2357295142219,432.7700320050999,24.770041194234118,0.0,57.38439626450533,199.76556657725604,207.7002623468804,26.331544565539996,5.140896023218754,191.98549379288514,0.0,160.13926721815193,57.36684057938273,20.031932473541236,86.81210479905867,97.74981816033053,174.879786880657,124.11326197875502,0.0,107.91555218709006,0.0,93.4924915472223,169.90696198089097
K04108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86029176051427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K04112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0624269932229335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K04333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6116126377000457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K04336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.060540021449637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K04338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.075348390549689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K04343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.999670131083449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.50797168793041,4.595592247989554,0.0,0.0,2.829313871411227,0.0,0.0,0.0,0.0,18.630169122067066,0.0,0.0,0.0,0.0,0.0,0.0,16.94833097921016,4.13168267652387
K04477,8.473532159681339,0.0,0.0,85.22989015656987,0.0,41.617381282882405,77.79271427559327,0.0,13.358691892768473,0.0,0.0,36.06688403475758,77.75274657689646,35.459691461678624,0.0,0.0,4.134877470245576,99.9104728121782,139.48132846680912,0.0,0.0,177.89162841996654,93.78231777730788,17.402686883423197,0.0,0.0,139.1309752480403,0.0,54.86109575776129,9.642383288592674,0.0,0.0,0.0,64.91200927734153,8.19877503741921,0.0,23.088200051359046,0.0,52.989170440924674,59.528907227455534
K04480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.391138034366162,0.0,1.696363511646991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K04485,86.36341996109314,88.94835881284642,0.0,204.59545411812357,171.60062260309363,289.52595993832284,348.36260820629593,2.5065419868567265,310.92062436020365,190.52969296407997,88.16688913889715,548.9927609417082,120.95328982221255,207.03573375947062,192.55725695754333,2.217618254532231,304.693966827266,262.9194313574957,326.2869800477179,51.991934709751746,0.0,189.01710966053938,280.1435815818278,63.600501642855015,14.814969139016842,3.4635913013952155,317.69764477303244,0.0,531.8599795351798,55.20120016129741,27.169538291480492,87.3801972513788,198.76717851932798,792.0402716188273,60.35587068117563,0.0,172.02762336538316,0.0,80.61046625057129,141.45412808607963
