"","OTU2","OTU1","meandist","distsd","median","Original","Zscore","zpvalue","zpadjusted","Cluster","InstancesOTU1","InstancesOTU2","Significant","Phylum_OTU1","Class_OTU1","Order_OTU1","Family_OTU1","OTU1WithOrder","Phylum_OTU2","Class_OTU2","Order_OTU2","Family_OTU2","OTU2WithOrder","OTU1ColorName","OTU2ColorName","OTU1Type","OTU2Type","OTU1emergence","OTU2emergence"
"28","Otu1","Otu14",0.86576665868123,0.0113615321944536,0.86343367258927,0.851632047477745,1.24407614761548,0.213471538767484,0.494,"3",5259,53096,FALSE,"Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu14_Bacteroidia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu14","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","unchanged","enriched"
"29","Otu1","Otu14",0.914343504532422,0.0297586848614338,0.911111111111111,0.886363636363636,0.94022529218174,0.347102010958959,0.528,"13",3311,10338,FALSE,"Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu14_Bacteroidia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu14","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","unchanged","enriched"
"30","Otu1","Otu14",0.863777208673206,0.0196143927929895,0.865168539325843,0.845714285714286,0.920901459940996,0.357101876313866,0.66,"9",3377,17291,FALSE,"Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu14_Bacteroidia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu14","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","unchanged","enriched"
"31","Otu1","Otu14",0.854792793855518,0.0131746125702593,0.85625,0.838095238095238,1.26740393094923,0.205010894950964,0.491,"2",4482,32299,FALSE,"Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu14_Bacteroidia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu14","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","unchanged","enriched"
"32","Otu1","Otu14",0.873598379526435,0.017478660861086,0.875942162744193,0.878787878787879,-0.296904854593145,0.766539149779785,0.937,"7",1613,20118,FALSE,"Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu14_Bacteroidia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu14","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","unchanged","enriched"
"33","Otu1","Otu14",0.874997974070903,0.00971686656593668,0.874603597601599,0.858974358974359,1.64905167605329,0.0991370484195013,0.487,"0",4302,63985,FALSE,"Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu14_Bacteroidia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu14","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","unchanged","enriched"
"34","Otu1","Otu14",0.624788457667624,0.0206120646581733,0.620580462482303,0.667655786350148,-2.07972027030906,0.0375511977445964,0.34,"5",26352,28723,FALSE,"Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu14_Bacteroidia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu14","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","unchanged","enriched"
"35","Otu1","Otu14",0.978226104845962,0.0056222123935476,0.976666666666667,0.986798679867987,-1.52476897384076,0.127316731115002,0.361,"4",81,81324,FALSE,"Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu14_Bacteroidia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu14","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","unchanged","enriched"
"36","Otu1","Otu14",0.90483678695783,0.0415174996335346,0.909090909090909,0.925373134328358,-0.494643163769448,0.620852027864467,0.859,"15",3809,7699,FALSE,"Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu14_Bacteroidia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu14","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","unchanged","enriched"
"37","Otu1","Otu14",0.954526413921919,0.0138346192456133,0.951612903225806,0.968253968253968,-0.99226108708429,0.32107018026221,0.803,"11",777,12913,FALSE,"Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu14_Bacteroidia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu14","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","unchanged","enriched"
"38","Otu1","Otu14",0.928515858782389,0.0168026292093991,0.927374301675978,0.950819672131147,-1.32740019855237,0.184376334058112,0.673,"8",1486,19980,FALSE,"Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu14_Bacteroidia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu14","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","unchanged","enriched"
"39","Otu1","Otu14",0.905095004275677,0.0226070841654242,0.915966386554622,0.897435897435897,0.338792335346507,0.734766175689624,0.917,"12",1973,17284,FALSE,"Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu14_Bacteroidia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu14","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","unchanged","enriched"
"40","Otu1","Otu14",0.829794569782878,0.025117942419424,0.832867951720411,0.82967032967033,0.00494626950226105,0.996053464022966,1,"10",5037,19767,FALSE,"Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu14_Bacteroidia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu14","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","unchanged","enriched"
"41","Otu1","Otu15",0.790469951124058,0.012438573273454,0.789915966386555,0.765714285714286,1.99023351517373,0.0465652179576172,0.235,"3",10973,53096,FALSE,"Firmicutes","Lachnospirales","Clostridia","Lachnospiraceae","Otu15_Clostridia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu15","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
