Sample,Cluster,MouseGroup,NumberParticles,TotalParticleCluster,ClusterProportion,ParticlesMouseGroupCluster,ClusterProportionMouseGroup,ParticleNumberPerSample,SampleProportion
J3r1,6,Jax,5,1048,0.00477099236641221,247,0.235687022900763,9422,0.000530672893228614
J3r1,7,Jax,22,1035,0.021256038647343,297,0.28695652173913,9422,0.0023349607302059
J3r1,21,Jax,9,178,0.050561797752809,112,0.629213483146067,9422,0.000955211207811505
J3r1,0,Jax,15,1830,0.00819672131147541,279,0.152459016393443,9422,0.00159201867968584
J3r1,2,Jax,11,1499,0.00733822548365577,208,0.138759172781855,9422,0.00116748036510295
J3r1,3,Jax,12,1468,0.00817438692098093,317,0.215940054495913,9422,0.00127361494374867
J3r1,20,Jax,6,206,0.029126213592233,65,0.315533980582524,9422,0.000636807471874337
J3r1,5,Jax,8,1349,0.00593031875463306,1161,0.860637509266123,9422,0.000849076629165782
J3r1,22,Jax,2,159,0.0125786163522013,37,0.232704402515723,9422,0.000212269157291446
J3r1,15,Jax,6,459,0.0130718954248366,65,0.14161220043573,9422,0.000636807471874337
J3r1,16,Jax,3,423,0.00709219858156028,68,0.160756501182033,9422,0.000318403735937168
J3r1,14,Jax,9,616,0.0146103896103896,126,0.204545454545455,9422,0.000955211207811505
J3r1,12,Jax,13,667,0.0194902548725637,172,0.257871064467766,9422,0.0013797495223944
J3r1,17,Jax,2,413,0.00484261501210654,70,0.169491525423729,9422,0.000212269157291446
J3r1,9,Jax,15,791,0.0189633375474083,230,0.290771175726928,9422,0.00159201867968584
J3r1,13,Jax,5,637,0.00784929356357928,148,0.232339089481947,9422,0.000530672893228614
J3r1,19,Jax,3,303,0.0099009900990099,86,0.283828382838284,9422,0.000318403735937168
J3r2,4,Jax,35,1359,0.0257542310522443,883,0.649742457689478,16606,0.00210767192580995
J3r2,23,Jax,8,138,0.0579710144927536,69,0.5,16606,0.000481753583042274
J3r2,21,Jax,4,178,0.0224719101123595,112,0.629213483146067,16606,0.000240876791521137
J3r2,10,Jax,6,760,0.00789473684210526,235,0.309210526315789,16606,0.000361315187281705
J3r2,20,Jax,6,206,0.029126213592233,65,0.315533980582524,16606,0.000361315187281705
J3r2,6,Jax,6,1048,0.00572519083969466,247,0.235687022900763,16606,0.000361315187281705
J3r2,7,Jax,14,1035,0.0135265700483092,297,0.28695652173913,16606,0.000843068770323979
J3r2,0,Jax,9,1830,0.00491803278688525,279,0.152459016393443,16606,0.000541972780922558
J3r2,2,Jax,13,1499,0.00867244829886591,208,0.138759172781855,16606,0.000782849572443695
J3r2,18,Jax,14,342,0.0409356725146199,205,0.599415204678363,16606,0.000843068770323979
J3r2,3,Jax,17,1468,0.0115803814713896,317,0.215940054495913,16606,0.00102372636396483
J3r2,22,Jax,1,159,0.00628930817610063,37,0.232704402515723,16606,0.0000602191978802842
J3r2,12,Jax,14,667,0.0209895052473763,172,0.257871064467766,16606,0.000843068770323979
J3r2,14,Jax,2,616,0.00324675324675325,126,0.204545454545455,16606,0.000120438395760568
J3r2,11,Jax,11,683,0.0161054172767204,383,0.560761346998536,16606,0.000662411176683127
J3r2,1,Jax,19,1648,0.0115291262135922,222,0.134708737864078,16606,0.0011441647597254
J3r2,8,Jax,18,834,0.0215827338129496,526,0.630695443645084,16606,0.00108394556184512
