OTU2,OTU1,meandist,distsd,median,Original,Zscore,zpvalue,zpadjusted,Cluster,Significant,Phylum_OTU1,Class_OTU1,Order_OTU1,Family_OTU1,OTU1WithOrder,Phylum_OTU2,Class_OTU2,Order_OTU2,Family_OTU2,OTU2WithOrder,OTU1ColorName,OTU2ColorName,OTU1Type,OTU2Type,OTU1emergence,OTU2emergence
Otu1,Otu18,0.94530968038747,0.00697413978312762,0.943755169561621,0.968497576736672,-3.32483963187836,0.000884694066348002,0.00248,Jax,TRUE,Firmicutes,Oscillospirales,Clostridia,[Eubacterium] coprostanoligenes group,Otu18_Clostridia,Bacteroidota,Bacteroidales,Bacteroidia,Muribaculaceae,Otu1_Bacteroidia,<b style='color:#E41A1C'>Otu18,<b style='color:#377EB8'>Otu1,Recipient Taxa,Donor Taxa,unchanged,enriched
Otu1,Otu18,0.924197554994512,0.00495210640300055,0.924749687819276,0.923344947735192,0.172170625979161,0.863303390092571,0.931,Env2Jax,FALSE,Firmicutes,Oscillospirales,Clostridia,[Eubacterium] coprostanoligenes group,Otu18_Clostridia,Bacteroidota,Bacteroidales,Bacteroidia,Muribaculaceae,Otu1_Bacteroidia,<b style='color:#E41A1C'>Otu18,<b style='color:#377EB8'>Otu1,Recipient Taxa,Donor Taxa,unchanged,enriched
Otu1,Otu19,0.995727906801856,0.000815587792033861,0.996041741633681,0.997844827586207,-2.5955768404431,0.00944322851760371,0.0225,Env,TRUE,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,Otu19_Clostridia,Bacteroidota,Bacteroidales,Bacteroidia,Muribaculaceae,Otu1_Bacteroidia,<b style='color:#E41A1C'>Otu19,<b style='color:#377EB8'>Otu1,Recipient Taxa,Donor Taxa,depleted,enriched
Otu1,Otu19,0.973862924970895,0.00474913303893152,0.974503920103338,0.998893805309734,-5.27062100253791,0.000000135962956839964,0.000000722,Jax,TRUE,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,Otu19_Clostridia,Bacteroidota,Bacteroidales,Bacteroidia,Muribaculaceae,Otu1_Bacteroidia,<b style='color:#E41A1C'>Otu19,<b style='color:#377EB8'>Otu1,Recipient Taxa,Donor Taxa,depleted,enriched
Otu1,Otu19,0.997555223608693,0.000782898396636721,0.99753937007874,0.999017199017199,-1.86738843097209,0.0618473642091822,0.18,Env2Jax,FALSE,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,Otu19_Clostridia,Bacteroidota,Bacteroidales,Bacteroidia,Muribaculaceae,Otu1_Bacteroidia,<b style='color:#E41A1C'>Otu19,<b style='color:#377EB8'>Otu1,Recipient Taxa,Donor Taxa,depleted,enriched
Otu1,Otu2,0.915267444285545,0.00411213687486923,0.915094339622642,0.897884996695307,4.22710822114613,0.0000236713834556064,0.0000909,Env,TRUE,Firmicutes,Lactobacillales,Bacilli,Lactobacillaceae,Otu2_Bacilli,Bacteroidota,Bacteroidales,Bacteroidia,Muribaculaceae,Otu1_Bacteroidia,<b style='color:#E41A1C'>Otu2,<b style='color:#377EB8'>Otu1,Recipient Taxa,Donor Taxa,unchanged,enriched
Otu1,Otu2,0.927360149135082,0.00613290930966991,0.926736333525392,0.940513462742642,-2.14471027426109,0.0319760189194703,0.0579,Jax,FALSE,Firmicutes,Lactobacillales,Bacilli,Lactobacillaceae,Otu2_Bacilli,Bacteroidota,Bacteroidales,Bacteroidia,Muribaculaceae,Otu1_Bacteroidia,<b style='color:#E41A1C'>Otu2,<b style='color:#377EB8'>Otu1,Recipient Taxa,Donor Taxa,unchanged,enriched
Otu1,Otu2,0.847848922799453,0.00529484519902413,0.846597961812189,0.84938638899219,-0.290370376271017,0.771532904184708,0.88,Env2Jax,FALSE,Firmicutes,Lactobacillales,Bacilli,Lactobacillaceae,Otu2_Bacilli,Bacteroidota,Bacteroidales,Bacteroidia,Muribaculaceae,Otu1_Bacteroidia,<b style='color:#E41A1C'>Otu2,<b style='color:#377EB8'>Otu1,Recipient Taxa,Donor Taxa,unchanged,enriched
Otu1,Otu20,0.888004240680457,0.00415443943070006,0.887566551832133,0.877370417193426,2.55962896184031,0.010478397020704,0.0245,Env,TRUE,Bacteroidota,Bacteroidales,Bacteroidia,Bacteroidaceae,Otu20_Bacteroidia,Bacteroidota,Bacteroidales,Bacteroidia,Muribaculaceae,Otu1_Bacteroidia,<b style='color:#828382'>Otu20,<b style='color:#377EB8'>Otu1,Shared Taxa,Donor Taxa,enriched,enriched
Otu1,Otu20,0.94231140908286,0.00558306145840739,0.941275167785235,0.906412478336222,6.42997233938362,0.000000000127627167863134,0.000000000918,Jax,TRUE,Bacteroidota,Bacteroidales,Bacteroidia,Bacteroidaceae,Otu20_Bacteroidia,Bacteroidota,Bacteroidales,Bacteroidia,Muribaculaceae,Otu1_Bacteroidia,<b style='color:#828382'>Otu20,<b style='color:#377EB8'>Otu1,Shared Taxa,Donor Taxa,enriched,enriched
Otu1,Otu20,0.865915674581621,0.00622281469972756,0.864906832298137,0.834595456357114,5.0331272480085,0.000000482542591032561,0.00000842,Env2Jax,TRUE,Bacteroidota,Bacteroidales,Bacteroidia,Bacteroidaceae,Otu20_Bacteroidia,Bacteroidota,Bacteroidales,Bacteroidia,Muribaculaceae,Otu1_Bacteroidia,<b style='color:#828382'>Otu20,<b style='color:#377EB8'>Otu1,Shared Taxa,Donor Taxa,enriched,enriched
Otu1,Otu21,0.920834529388431,0.00371735609287222,0.920273348519362,0.98158379373849,-16.342062162552,0.00000000000000000000000000000000000000000000000000000000000495483598434652,0.00000000000000000000000000000000000000000000000000000000016,Env,TRUE,Bacteroidota,Bacteroidales,Bacteroidia,Bacteroidaceae,Otu21_Bacteroidia,Bacteroidota,Bacteroidales,Bacteroidia,Muribaculaceae,Otu1_Bacteroidia,<b style='color:#828382'>Otu21,<b style='color:#377EB8'>Otu1,Shared Taxa,Donor Taxa,depleted,enriched
Otu1,Otu21,0.92994260439804,0.00698346926523976,0.928216885695377,0.991910392034848,-8.87349614972209,0.000000000000000000708846926439624,0.00000000000000000858,Jax,TRUE,Bacteroidota,Bacteroidales,Bacteroidia,Bacteroidaceae,Otu21_Bacteroidia,Bacteroidota,Bacteroidales,Bacteroidia,Muribaculaceae,Otu1_Bacteroidia,<b style='color:#828382'>Otu21,<b style='color:#377EB8'>Otu1,Shared Taxa,Donor Taxa,depleted,enriched
Otu1,Otu21,0.958860759596778,0.00346116308013148,0.958904053466024,0.953314659197012,1.60238054993775,0.109071483193189,0.271,Env2Jax,FALSE,Bacteroidota,Bacteroidales,Bacteroidia,Bacteroidaceae,Otu21_Bacteroidia,Bacteroidota,Bacteroidales,Bacteroidia,Muribaculaceae,Otu1_Bacteroidia,<b style='color:#828382'>Otu21,<b style='color:#377EB8'>Otu1,Shared Taxa,Donor Taxa,depleted,enriched
Otu1,Otu22,0.951805001845727,0.00278506733206554,0.952607409900427,1,-17.3047874280762,0.00000000000000000000000000000000000000000000000000000000000000000043287583993355,0.0000000000000000000000000000000000000000000000000000000000000000157,Env,TRUE,Firmicutes,Oscillospirales,Clostridia,Ruminococcaceae,Otu22_Clostridia,Bacteroidota,Bacteroidales,Bacteroidia,Muribaculaceae,Otu1_Bacteroidia,<b style='color:#828382'>Otu22,<b style='color:#377EB8'>Otu1,Shared Taxa,Donor Taxa,depleted,enriched
