OTU,domain,dconf,phylum,pconf,class,cconf,order,oconf,family,fconf,genus,gconf
Otu237,Bacteria,1.0000,Bacteroidetes,0.9900,Bacteroidia,0.8000,Bacteroidales,0.8000,Odoribacteraceae,0.3800,Odoribacter,0.2200
Otu238,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Ruminococcaceae,0.9900,Agathobaculum,0.9300
Otu240,Bacteria,1.0000,Firmicutes,0.7900,Clostridia,0.7700,Clostridiales,0.7700,Lachnospiraceae,0.4300,Cellulosilyticum,0.4000
Otu239,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,1.0000,Coprococcus,0.6900
Otu241,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Ruminococcaceae,1.0000,Oscillibacter,0.8400
Otu242,Bacteria,1.0000,Actinobacteria,1.0000,Coriobacteriia,1.0000,Eggerthellales,1.0000,Eggerthellaceae,1.0000,Adlercreutzia,0.8500
Otu243,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,1.0000,Dorea,0.3600
Otu244,Bacteria,1.0000,Firmicutes,0.5300,Clostridia,0.5300,Clostridiales,0.5300,Lachnospiraceae,0.2600,Spiroplasma,0.1600
Otu245,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,1.0000,Blautia,0.9900
Otu247,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,1.0000,Blautia,0.6000
Otu248,Bacteria,1.0000,Firmicutes,0.9900,Clostridia,0.9900,Clostridiales,0.9900,Lachnospiraceae,0.9900,Butyrivibrio,0.6100
Otu250,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,1.0000,Lachnospira,0.9000
Otu246,Bacteria,1.0000,Actinobacteria,0.6200,Coriobacteriia,0.6000,Eggerthellales,0.5700,Eggerthellaceae,0.5700,Raoultibacter,0.5700
Otu249,Bacteria,1.0000,Firmicutes,0.7300,Clostridia,0.5500,Clostridiales,0.5500,Lachnospiraceae,0.3700,Dorea,0.2600
Otu253,Bacteria,1.0000,Firmicutes,0.8000,Clostridia,0.7900,Clostridiales,0.7900,Lachnospiraceae,0.7500,Cellulosilyticum,0.6900
Otu251,Bacteria,1.0000,Firmicutes,1.0000,Negativicutes,1.0000,Veillonellales,1.0000,Veillonellaceae,1.0000,Megasphaera,1.0000
Otu252,Bacteria,1.0000,Firmicutes,1.0000,Erysipelotrichia,0.9800,Erysipelotrichales,0.9800,Erysipelotrichaceae,0.9800,Clostridium_XVIII,0.9200
Otu255,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,1.0000,Schaedlerella,0.9900
Otu254,Bacteria,1.0000,Firmicutes,0.9900,Clostridia,0.9900,Clostridiales,0.9900,Ruminococcaceae,0.9700,Butyricicoccus,0.2100
Otu258,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,0.9900,Johnsonella,0.4800
